,position,manager_id,opponent_id,matchup_url,player,player_url,score,manager,league_url
0,QB,1,8,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=1&mid1=1&mid2=8,M. Ryan ,https://sports.yahoo.com/nfl/players/8780,22.20,TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231
1,WR,1,8,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=1&mid1=1&mid2=8,C. Ridley ,https://sports.yahoo.com/nfl/players/30996,16.00,TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231
2,WR,1,8,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=1&mid1=1&mid2=8,J. Gordon ,https://sports.yahoo.com/nfl/players/26561,16.63,TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231
3,WR,1,8,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=1&mid1=1&mid2=8,S. Diggs ,https://sports.yahoo.com/nfl/players/28534,5.63,TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231
4,RB,1,8,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=1&mid1=1&mid2=8,L. Bell ,https://sports.yahoo.com/nfl/players/26671,22.50,TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231
5,RB,1,8,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=1&mid1=1&mid2=8,L. Fournette ,https://sports.yahoo.com/nfl/players/30117,11.75,TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231
6,TE,1,8,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=1&mid1=1&mid2=8,E. Engram ,https://sports.yahoo.com/nfl/players/30136,26.00,TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231
7,Q/WR/T,1,8,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=1&mid1=1&mid2=8,C. Wentz ,https://sports.yahoo.com/nfl/players/29236,28.28,TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231
8,DEF,1,8,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=1&mid1=1&mid2=8,Denver  - DEF ,https://sports.yahoo.com/nfl/teams/denver/,1.50,TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231
9,DEF,1,8,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=1&mid1=1&mid2=8,Las Vegas  - DEF ,https://sports.yahoo.com/nfl/teams/las-vegas/,7.50,TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231
0,QB,1,2,https://football.fantasysports.yahoo.com//2019/f1/102231/matchup?week=2&mid1=1&mid2=2,M. Ryan ,https://sports.yahoo.com/nfl/players/8780,22.38,TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231
