,position,manager_id,opponent_id,matchup_url,player,player_url,score,manager,league_url
0,QB,1,2,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=1&mid1=1&mid2=2,C. Kaepernick ,https://sports.yahoo.com/nfl/players/24823,10.70,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
1,WR,1,2,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=1&mid1=1&mid2=2,D. Thomas ,https://sports.yahoo.com/nfl/players/23997,6.00,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
2,WR,1,2,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=1&mid1=1&mid2=2,J. Jones ,https://sports.yahoo.com/nfl/players/24793,26.10,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
3,WR,1,2,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=1&mid1=1&mid2=2,R. Cobb ,https://sports.yahoo.com/nfl/players/24851,9.80,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
4,RB,1,2,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=1&mid1=1&mid2=2,F. Gore ,https://sports.yahoo.com/nfl/players/7241,3.10,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
5,RB,1,2,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=1&mid1=1&mid2=2,M. Gordon ,https://sports.yahoo.com/nfl/players/28403,4.70,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
6,TE,1,2,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=1&mid1=1&mid2=2,O. Daniels ,https://sports.yahoo.com/nfl/players/7847,0.50,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
7,K,1,2,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=1&mid1=1&mid2=2,B. Walsh ,https://sports.yahoo.com/nfl/players/25885,3.00,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
8,DEF,1,2,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=1&mid1=1&mid2=2,Cleveland  - DEF ,https://sports.yahoo.com/nfl/teams/cleveland/,1.00,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
0,QB,1,3,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=2&mid1=1&mid2=3,C. Kaepernick ,https://sports.yahoo.com/nfl/players/24823,26.50,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
1,WR,1,3,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=2&mid1=1&mid2=3,D. Thomas ,https://sports.yahoo.com/nfl/players/23997,11.60,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
2,WR,1,3,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=2&mid1=1&mid2=3,J. Jones ,https://sports.yahoo.com/nfl/players/24793,13.50,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
3,WR,1,3,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=2&mid1=1&mid2=3,R. Cobb ,https://sports.yahoo.com/nfl/players/24851,11.60,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
4,RB,1,3,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=2&mid1=1&mid2=3,L. Dunbar ,https://sports.yahoo.com/nfl/players/26064,5.30,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
5,RB,1,3,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=2&mid1=1&mid2=3,R. Hillman ,https://sports.yahoo.com/nfl/players/25777,3.40,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
6,TE,1,3,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=2&mid1=1&mid2=3,K. Rudolph ,https://sports.yahoo.com/nfl/players/24830,9.00,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
7,K,1,3,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=2&mid1=1&mid2=3,A. Franks ,https://sports.yahoo.com/nfl/players/28907,10.00,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
8,DEF,1,3,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=2&mid1=1&mid2=3,Cincinnati  - DEF ,https://sports.yahoo.com/nfl/teams/cincinnati/,11.00,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
0,QB,1,4,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=3&mid1=1&mid2=4,C. Kaepernick ,https://sports.yahoo.com/nfl/players/24823,5.28,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
1,WR,1,4,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=3&mid1=1&mid2=4,D. Thomas ,https://sports.yahoo.com/nfl/players/23997,13.20,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
2,WR,1,4,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=3&mid1=1&mid2=4,J. Jones ,https://sports.yahoo.com/nfl/players/24793,28.40,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
3,WR,1,4,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=3&mid1=1&mid2=4,R. Cobb ,https://sports.yahoo.com/nfl/players/24851,28.30,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667
