,player_name,position,player_url,position_rank
0,Josh Allen,QB,https://sports.yahoo.com/nfl/players/30977,1
1,Kyler Murray,QB,https://sports.yahoo.com/nfl/players/31833,2
2,Aaron Rodgers,QB,https://sports.yahoo.com/nfl/players/7200,3
3,Patrick Mahomes,QB,https://sports.yahoo.com/nfl/players/30123,4
4,Deshaun Watson,QB,https://sports.yahoo.com/nfl/players/30125,5
5,Russell Wilson,QB,https://sports.yahoo.com/nfl/players/25785,6
6,Ryan Tannehill,QB,https://sports.yahoo.com/nfl/players/25718,7
7,Lamar Jackson,QB,https://sports.yahoo.com/nfl/players/31002,8
8,Tom Brady,QB,https://sports.yahoo.com/nfl/players/5228,9
9,Justin Herbert,QB,https://sports.yahoo.com/nfl/players/32676,10
10,Kirk Cousins,QB,https://sports.yahoo.com/nfl/players/25812,14
11,Matt Ryan,QB,https://sports.yahoo.com/nfl/players/8780,16
12,Derek Carr,QB,https://sports.yahoo.com/nfl/players/27564,18
13,Ben Roethlisberger,QB,https://sports.yahoo.com/nfl/players/6770,19
14,Matthew Stafford,QB,https://sports.yahoo.com/nfl/players/9265,20
15,Cam Newton,QB,https://sports.yahoo.com/nfl/players/24788,22
16,Baker Mayfield,QB,https://sports.yahoo.com/nfl/players/30971,24
17,Teddy Bridgewater,QB,https://sports.yahoo.com/nfl/players/27560,25
18,Jared Goff,QB,https://sports.yahoo.com/nfl/players/29235,26
19,Philip Rivers,QB,https://sports.yahoo.com/nfl/players/6763,27
20,Drew Brees,QB,https://sports.yahoo.com/nfl/players/5479,43
21,Carson Wentz,QB,https://sports.yahoo.com/nfl/players/29236,46
22,Daniel Jones,QB,https://sports.yahoo.com/nfl/players/31838,53
23,Drew Lock,QB,https://sports.yahoo.com/nfl/players/31874,58
24,Joe Burrow,QB,https://sports.yahoo.com/nfl/players/32671,71
0,Gardner Minshew,QB,https://sports.yahoo.com/nfl/players/32010,83
1,Mitch Trubisky,QB,https://sports.yahoo.com/nfl/players/30115,96
2,Ryan Fitzpatrick,QB,https://sports.yahoo.com/nfl/players/7426,97
3,Taysom Hill,QB,https://sports.yahoo.com/nfl/players/30614,98
4,Sam Darnold,QB,https://sports.yahoo.com/nfl/players/30973,113
5,Andy Dalton,QB,https://sports.yahoo.com/nfl/players/24822,114
6,Tua Tagovailoa,QB,https://sports.yahoo.com/nfl/players/32675,121
7,Dak Prescott,QB,https://sports.yahoo.com/nfl/players/29369,122
8,Nick Mullens,QB,https://sports.yahoo.com/nfl/players/30563,148
9,Jalen Hurts,QB,https://sports.yahoo.com/nfl/players/32723,170
10,Nick Foles,QB,https://sports.yahoo.com/nfl/players/25798,174
11,Alex Smith,QB,https://sports.yahoo.com/nfl/players/7177,232
12,Dwayne Haskins Jr.,QB,https://sports.yahoo.com/nfl/players/31847,238
13,Jimmy Garoppolo,QB,https://sports.yahoo.com/nfl/players/27590,253
14,Mike Glennon,QB,https://sports.yahoo.com/nfl/players/26696,265
15,Joe Flacco,QB,https://sports.yahoo.com/nfl/players/8795,281
16,C.J. Beathard,QB,https://sports.yahoo.com/nfl/players/30217,285
17,Brandon Allen,QB,https://sports.yahoo.com/nfl/players/29435,288
18,Kyle Allen,QB,https://sports.yahoo.com/nfl/players/31301,307
19,Jeff Driskel,QB,https://sports.yahoo.com/nfl/players/29441,352
20,Jake Luton,QB,https://sports.yahoo.com/nfl/players/32859,354
21,Marcus Mariota,QB,https://sports.yahoo.com/nfl/players/28390,365
22,Chad Henne,QB,https://sports.yahoo.com/nfl/players/8834,383
23,Ryan Finley,QB,https://sports.yahoo.com/nfl/players/31936,405
24,Colt McCoy,QB,https://sports.yahoo.com/nfl/players/24060,406
0,Mason Rudolph,QB,https://sports.yahoo.com/nfl/players/31046,409
1,Jacoby Brissett,QB,https://sports.yahoo.com/nfl/players/29325,410
2,Garrett Gilbert,QB,https://sports.yahoo.com/nfl/players/27742,432
3,Blaine Gabbert,QB,https://sports.yahoo.com/nfl/players/24797,437
4,John Wolford,QB,https://sports.yahoo.com/nfl/players/31803,439
5,Jarrett Stidham,QB,https://sports.yahoo.com/nfl/players/31965,442
6,Chase Daniel,QB,https://sports.yahoo.com/nfl/players/9678,448
7,Brett Rypien,QB,https://sports.yahoo.com/nfl/players/32221,453
8,Taylor Heinicke,QB,https://sports.yahoo.com/nfl/players/28839,459
