,player_name,position,player_url,position_rank
12,PJ Walker,QB,https://sports.yahoo.com/nfl/players/30538,815
13,Alex Tanney,QB,https://sports.yahoo.com/nfl/players/26547,829
14,EJ Manuel,QB,https://sports.yahoo.com/nfl/players/26639,847
15,Tyler Ferguson,QB,https://sports.yahoo.com/nfl/players/30747,851
16,Cooper Rush,QB,https://sports.yahoo.com/nfl/players/30788,862
17,Kyle Sloter,QB,https://sports.yahoo.com/nfl/players/30822,867
18,Landry Jones,QB,https://sports.yahoo.com/nfl/players/26738,869
19,Ryan Griffin,QB,https://sports.yahoo.com/nfl/players/26949,900
20,Mason Rudolph,QB,https://sports.yahoo.com/nfl/players/31046,901
21,Mike White,QB,https://sports.yahoo.com/nfl/players/31141,906
22,Luke Falk,QB,https://sports.yahoo.com/nfl/players/31169,910
23,Tanner Lee,QB,https://sports.yahoo.com/nfl/players/31173,912
24,Danny Etling,QB,https://sports.yahoo.com/nfl/players/31189,915
0,Alex McGough,QB,https://sports.yahoo.com/nfl/players/31190,916
1,Logan Woodside,QB,https://sports.yahoo.com/nfl/players/31219,920
2,Peter Pujals,QB,https://sports.yahoo.com/nfl/players/31239,927
3,Austin Allen,QB,https://sports.yahoo.com/nfl/players/31252,932
4,Tyler Bray,QB,https://sports.yahoo.com/nfl/players/27170,936
5,Dalton Sturm,QB,https://sports.yahoo.com/nfl/players/31279,940
6,Chad Kanoff,QB,https://sports.yahoo.com/nfl/players/31308,947
7,Jack Heneghan,QB,https://sports.yahoo.com/nfl/players/31330,955
8,Kurt Benkert,QB,https://sports.yahoo.com/nfl/players/31336,957
9,J.T. Barrett,QB,https://sports.yahoo.com/nfl/players/31365,971
10,Tim Boyle,QB,https://sports.yahoo.com/nfl/players/31431,990
11,Chase Litton,QB,https://sports.yahoo.com/nfl/players/31490,1005
12,Matt McGloin,QB,https://sports.yahoo.com/nfl/players/27429,1019
13,Nic Shimonek,QB,https://sports.yahoo.com/nfl/players/31688,1057
14,Brogan Roback,QB,https://sports.yahoo.com/nfl/players/31695,1060
15,Luis Perez,QB,https://sports.yahoo.com/nfl/players/31734,1075
16,Nick Stevens,QB,https://sports.yahoo.com/nfl/players/31741,1078
17,Tom Savage,QB,https://sports.yahoo.com/nfl/players/27663,1086
18,John Wolford,QB,https://sports.yahoo.com/nfl/players/31803,1105
19,Connor Jessop,QB,https://sports.yahoo.com/nfl/players/31804,1106
20,David Fales,QB,https://sports.yahoo.com/nfl/players/27711,1108
21,Stephen Morris,QB,https://sports.yahoo.com/nfl/players/27878,1114
