position,manager_id,opponent_id,matchup_url,player,player_url,score,league_url
QB,3,5,https://football.fantasysports.yahoo.com/2013/f1/378899/matchup?mid1=3&mid2=5&week=14,N. Foles ,https://sports.yahoo.com/nfl/players/25798,19.46,https://football.fantasysports.yahoo.com/2013/f1/378899
WR,3,5,https://football.fantasysports.yahoo.com/2013/f1/378899/matchup?mid1=3&mid2=5&week=14,B. Marshall ,https://sports.yahoo.com/nfl/players/7868,12.00,https://football.fantasysports.yahoo.com/2013/f1/378899
WR,3,5,https://football.fantasysports.yahoo.com/2013/f1/378899/matchup?mid1=3&mid2=5&week=14,A. Brown ,https://sports.yahoo.com/nfl/players/24171,19.80,https://football.fantasysports.yahoo.com/2013/f1/378899
WR,3,5,https://football.fantasysports.yahoo.com/2013/f1/378899/matchup?mid1=3&mid2=5&week=14,D. Jackson ,https://sports.yahoo.com/nfl/players/8826,10.90,https://football.fantasysports.yahoo.com/2013/f1/378899
RB,3,5,https://football.fantasysports.yahoo.com/2013/f1/378899/matchup?mid1=3&mid2=5&week=14,J. Charles ,https://sports.yahoo.com/nfl/players/8850,27.80,https://football.fantasysports.yahoo.com/2013/f1/378899
RB,3,5,https://football.fantasysports.yahoo.com/2013/f1/378899/matchup?mid1=3&mid2=5&week=14,D. Murray ,https://sports.yahoo.com/nfl/players/24858,15.50,https://football.fantasysports.yahoo.com/2013/f1/378899
TE,3,5,https://football.fantasysports.yahoo.com/2013/f1/378899/matchup?mid1=3&mid2=5&week=14,R. Gronkowski ,https://sports.yahoo.com/nfl/players/24017,3.20,https://football.fantasysports.yahoo.com/2013/f1/378899
K,3,5,https://football.fantasysports.yahoo.com/2013/f1/378899/matchup?mid1=3&mid2=5&week=14,G. Hartley ,https://sports.yahoo.com/nfl/players/9222,7.00,https://football.fantasysports.yahoo.com/2013/f1/378899
DEF,3,5,https://football.fantasysports.yahoo.com/2013/f1/378899/matchup?mid1=3&mid2=5&week=14,Seattle  - DEF ,https://sports.yahoo.com/nfl/teams/seattle/,5.00,https://football.fantasysports.yahoo.com/2013/f1/378899
QB,5,3,https://football.fantasysports.yahoo.com/2013/f1/378899/matchup?mid1=3&mid2=5&week=14,C. Newton ,https://sports.yahoo.com/nfl/players/24788,15.20,https://football.fantasysports.yahoo.com/2013/f1/378899
WR,5,3,https://football.fantasysports.yahoo.com/2013/f1/378899/matchup?mid1=3&mid2=5&week=14,P. Garcon ,https://sports.yahoo.com/nfl/players/8982,3.70,https://football.fantasysports.yahoo.com/2013/f1/378899
WR,5,3,https://football.fantasysports.yahoo.com/2013/f1/378899/matchup?mid1=3&mid2=5&week=14,V. Jackson ,https://sports.yahoo.com/nfl/players/7237,13.00,https://football.fantasysports.yahoo.com/2013/f1/378899
