position,manager_id,opponent_id,matchup_url,player,player_url,score,league_url
QB,9,3,https://football.fantasysports.yahoo.com/2018/f1/153194/matchup?mid1=9&mid2=3&week=14,C. Newton ,https://sports.yahoo.com/nfl/players/24788,11.48,https://football.fantasysports.yahoo.com/2018/f1/153194
WR,9,3,https://football.fantasysports.yahoo.com/2018/f1/153194/matchup?mid1=9&mid2=3&week=14,D. Hopkins ,https://sports.yahoo.com/nfl/players/26650,12.50,https://football.fantasysports.yahoo.com/2018/f1/153194
WR,9,3,https://football.fantasysports.yahoo.com/2018/f1/153194/matchup?mid1=9&mid2=3&week=14,A. Thielen ,https://sports.yahoo.com/nfl/players/27277,12.25,https://football.fantasysports.yahoo.com/2018/f1/153194
WR,9,3,https://football.fantasysports.yahoo.com/2018/f1/153194/matchup?mid1=9&mid2=3&week=14,T. Lockett ,https://sports.yahoo.com/nfl/players/28457,9.38,https://football.fantasysports.yahoo.com/2018/f1/153194
RB,9,3,https://football.fantasysports.yahoo.com/2018/f1/153194/matchup?mid1=9&mid2=3&week=14,M. Ingram II ,https://sports.yahoo.com/nfl/players/24815,13.13,https://football.fantasysports.yahoo.com/2018/f1/153194
RB,9,3,https://football.fantasysports.yahoo.com/2018/f1/153194/matchup?mid1=9&mid2=3&week=14,J. Wilson Jr. ,https://sports.yahoo.com/nfl/players/31394,12.50,https://football.fantasysports.yahoo.com/2018/f1/153194
TE,9,3,https://football.fantasysports.yahoo.com/2018/f1/153194/matchup?mid1=9&mid2=3&week=14,R. Gronkowski ,https://sports.yahoo.com/nfl/players/24017,23.38,https://football.fantasysports.yahoo.com/2018/f1/153194
Q/WR/T,9,3,https://football.fantasysports.yahoo.com/2018/f1/153194/matchup?mid1=9&mid2=3&week=14,R. Wilson ,https://sports.yahoo.com/nfl/players/25785,10.51,https://football.fantasysports.yahoo.com/2018/f1/153194
DEF,9,3,https://football.fantasysports.yahoo.com/2018/f1/153194/matchup?mid1=9&mid2=3&week=14,New England  - DEF ,https://sports.yahoo.com/nfl/teams/new-england/,10.00,https://football.fantasysports.yahoo.com/2018/f1/153194
DEF,9,3,https://football.fantasysports.yahoo.com/2018/f1/153194/matchup?mid1=9&mid2=3&week=14,Buffalo  - DEF ,https://sports.yahoo.com/nfl/teams/buffalo/,10.00,https://football.fantasysports.yahoo.com/2018/f1/153194
QB,3,9,https://football.fantasysports.yahoo.com/2018/f1/153194/matchup?mid1=9&mid2=3&week=14,B. Roethlisberger ,https://sports.yahoo.com/nfl/players/6770,19.28,https://football.fantasysports.yahoo.com/2018/f1/153194
WR,3,9,https://football.fantasysports.yahoo.com/2018/f1/153194/matchup?mid1=9&mid2=3&week=14,J. Jones ,https://sports.yahoo.com/nfl/players/24793,29.25,https://football.fantasysports.yahoo.com/2018/f1/153194
WR,3,9,https://football.fantasysports.yahoo.com/2018/f1/153194/matchup?mid1=9&mid2=3&week=14,T. Hilton ,https://sports.yahoo.com/nfl/players/25802,29.38,https://football.fantasysports.yahoo.com/2018/f1/153194
WR,3,9,https://football.fantasysports.yahoo.com/2018/f1/153194/matchup?mid1=9&mid2=3&week=14,C. Godwin ,https://sports.yahoo.com/nfl/players/30197,2.13,https://football.fantasysports.yahoo.com/2018/f1/153194
RB,3,9,https://football.fantasysports.yahoo.com/2018/f1/153194/matchup?mid1=9&mid2=3&week=14,D. Johnson ,https://sports.yahoo.com/nfl/players/28474,11.63,https://football.fantasysports.yahoo.com/2018/f1/153194
RB,3,9,https://football.fantasysports.yahoo.com/2018/f1/153194/matchup?mid1=9&mid2=3&week=14,L. McCoy ,https://sports.yahoo.com/nfl/players/9317,0.13,https://football.fantasysports.yahoo.com/2018/f1/153194
TE,3,9,https://football.fantasysports.yahoo.com/2018/f1/153194/matchup?mid1=9&mid2=3&week=14,Z. Ertz ,https://sports.yahoo.com/nfl/players/26658,7.25,https://football.fantasysports.yahoo.com/2018/f1/153194
Q/WR/T,3,9,https://football.fantasysports.yahoo.com/2018/f1/153194/matchup?mid1=9&mid2=3&week=14,L. Jackson ,https://sports.yahoo.com/nfl/players/31002,20.26,https://football.fantasysports.yahoo.com/2018/f1/153194
DEF,3,9,https://football.fantasysports.yahoo.com/2018/f1/153194/matchup?mid1=9&mid2=3&week=14,Houston  - DEF ,https://sports.yahoo.com/nfl/teams/houston/,12.00,https://football.fantasysports.yahoo.com/2018/f1/153194
DEF,3,9,https://football.fantasysports.yahoo.com/2018/f1/153194/matchup?mid1=9&mid2=3&week=14,New Orleans  - DEF ,https://sports.yahoo.com/nfl/teams/new-orleans/,13.00,https://football.fantasysports.yahoo.com/2018/f1/153194
