,player_name,position,player_url,position_rank
0,Aaron Rodgers,QB,https://sports.yahoo.com/nfl/players/7200,8
1,Drew Brees,QB,https://sports.yahoo.com/nfl/players/5479,16
2,Mike Vick,QB,https://sports.yahoo.com/nfl/players/5448,17
3,Philip Rivers,QB,https://sports.yahoo.com/nfl/players/6763,20
4,Tom Brady,QB,https://sports.yahoo.com/nfl/players/5228,23
5,Tony Romo,QB,https://sports.yahoo.com/nfl/players/6624,31
6,Matt Ryan,QB,https://sports.yahoo.com/nfl/players/8780,47
7,Ben Roethlisberger,QB,https://sports.yahoo.com/nfl/players/6770,49
8,Matthew Stafford,QB,https://sports.yahoo.com/nfl/players/9265,65
9,Eli Manning,QB,https://sports.yahoo.com/nfl/players/6760,71
10,Josh Freeman,QB,https://sports.yahoo.com/nfl/players/9281,76
11,Kevin Kolb,QB,https://sports.yahoo.com/nfl/players/8290,82
12,Joe Flacco,QB,https://sports.yahoo.com/nfl/players/8795,85
13,Sam Bradford,QB,https://sports.yahoo.com/nfl/players/23976,87
14,Jay Cutler,QB,https://sports.yahoo.com/nfl/players/7760,88
15,Kyle Orton,QB,https://sports.yahoo.com/nfl/players/7282,97
16,Ryan Fitzpatrick,QB,https://sports.yahoo.com/nfl/players/7426,106
17,Mark Sanchez,QB,https://sports.yahoo.com/nfl/players/9269,138
18,Colt McCoy,QB,https://sports.yahoo.com/nfl/players/24060,161
19,Donovan McNabb,QB,https://sports.yahoo.com/nfl/players/4650,163
20,Cam Newton,QB,https://sports.yahoo.com/nfl/players/24788,199
21,Jason Campbell,QB,https://sports.yahoo.com/nfl/players/7201,205
22,Matt Hasselbeck,QB,https://sports.yahoo.com/nfl/players/4416,213
23,Alex Smith,QB,https://sports.yahoo.com/nfl/players/7177,218
24,Curtis Painter,QB,https://sports.yahoo.com/nfl/players/9465,224
0,Tarvaris Jackson,QB,https://sports.yahoo.com/nfl/players/7813,229
1,John Beck,QB,https://sports.yahoo.com/nfl/players/8294,233
2,Tim Tebow,QB,https://sports.yahoo.com/nfl/players/24000,241
3,Rex Grossman,QB,https://sports.yahoo.com/nfl/players/6358,242
4,Carson Palmer,QB,https://sports.yahoo.com/nfl/players/6337,243
5,Blaine Gabbert,QB,https://sports.yahoo.com/nfl/players/24797,249
6,Jake Locker,QB,https://sports.yahoo.com/nfl/players/24795,255
7,Andy Dalton,QB,https://sports.yahoo.com/nfl/players/24822,261
8,Christian Ponder,QB,https://sports.yahoo.com/nfl/players/24799,266
9,Colin Kaepernick,QB,https://sports.yahoo.com/nfl/players/24823,278
10,Matt Flynn,QB,https://sports.yahoo.com/nfl/players/8986,284
11,Vince Young,QB,https://sports.yahoo.com/nfl/players/7752,289
