player,player_url,position,score,manager_id,opponent_id,matchup_url,league_url
,,,15.20,1,4,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=1&mid2=4&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,9.50,1,4,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=1&mid2=4&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,7.38,1,4,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=1&mid2=4&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,2.25,1,4,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=1&mid2=4&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,-0.02,1,4,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=1&mid2=4&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,5.28,1,4,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=1&mid2=4&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,6.13,1,4,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=1&mid2=4&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,3.03,1,4,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=1&mid2=4&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,21.10,1,4,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=1&mid2=4&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,17.50,1,4,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=1&mid2=4&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,11.30,4,1,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=1&mid2=4&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,16.43,4,1,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=1&mid2=4&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,6.13,4,1,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=1&mid2=4&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,12.25,4,1,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=1&mid2=4&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,8.60,4,1,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=1&mid2=4&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,8.45,4,1,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=1&mid2=4&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,27.50,4,1,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=1&mid2=4&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,21.88,4,1,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=1&mid2=4&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,20.60,4,1,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=1&mid2=4&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,24.00,4,1,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=1&mid2=4&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,33.90,8,2,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=2&mid2=8&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,11.75,8,2,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=2&mid2=8&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,8.75,8,2,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=2&mid2=8&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
,,,19.63,8,2,https://football.fantasysports.yahoo.com/2023/f1/199957/matchup?mid1=2&mid2=8&week=15,https://football.fantasysports.yahoo.com/2023/f1/199957
