player_name,player_url,position,faab_spend,failed_bids,awardee,awardee_url,award_timestamp,has_failed_bidders,faab_dollars,sort
Miami,https://sports.yahoo.com/nfl/teams/miami/,DEF,$2 Winning Offer,"[['WoW', 'https://football.fantasysports.yahoo.com/2018/f1/153194/8', '$1 (Lower Offer)']]",CantStopWontStop,https://football.fantasysports.yahoo.com/2018/f1/153194/3,"Dec 19, 4:37 am",1,2,"MiamiCantStopWontStopDec 19, 4:37 am2"
Chosen Anderson,https://sports.yahoo.com/nfl/players/29785,WR,$3 Winning Offer,"[['Captain Crunch', 'https://football.fantasysports.yahoo.com/2018/f1/153194/7', '$0 (Lower Offer)']]",CantStopWontStop,https://football.fantasysports.yahoo.com/2018/f1/153194/3,"Dec 19, 4:37 am",1,3,"Chosen AndersonCantStopWontStopDec 19, 4:37 am3"
Derrick Henry,https://sports.yahoo.com/nfl/players/29279,RB,$19 Winning Offer,"[['WoW', 'https://football.fantasysports.yahoo.com/2018/f1/153194/8', '$10 (Lower Offer)'], ['CantStopWontStop', 'https://football.fantasysports.yahoo.com/2018/f1/153194/3', '$6 (Lower Offer)']]",TheVikingsCurse,https://football.fantasysports.yahoo.com/2018/f1/153194/1,"Dec 12, 5:06 am",1,19,"Derrick HenryTheVikingsCurseDec 12, 5:06 am19"
Austin Ekeler,https://sports.yahoo.com/nfl/players/30423,RB,$25 Winning Offer,"[['TheVikingsCurse', 'https://football.fantasysports.yahoo.com/2018/f1/153194/1', '$20 (Lower Offer)'], ['Zee-kee DoULoveMe?', 'https://football.fantasysports.yahoo.com/2018/f1/153194/10', '$18 (Lower Offer)'], ['Scott=FreeWin', 'https://football.fantasysports.yahoo.com/2018/f1/153194/9', '$9 (Lower Offer)'], ['CantStopWontStop', 'https://football.fantasysports.yahoo.com/2018/f1/153194/3', '$9 (Lower Offer)'], ['KENNY G BABY', 'https://football.fantasysports.yahoo.com/2018/f1/153194/6', '$0 (Lower Offer)']]",WoW,https://football.fantasysports.yahoo.com/2018/f1/153194/8,"Nov 28, 4:51 am",1,25,"Austin EkelerWoWNov 28, 4:51 am25"
DJ Moore,https://sports.yahoo.com/nfl/players/30994,WR,$4 Winning Offer,"[['Captain Crunch', 'https://football.fantasysports.yahoo.com/2018/f1/153194/7', '$4 (Lower waiver priority)'], ['KENNY G BABY', 'https://football.fantasysports.yahoo.com/2018/f1/153194/6', '$0 (Lower Offer)']]",DeshaunJJWattson,https://football.fantasysports.yahoo.com/2018/f1/153194/5,"Nov 21, 4:57 am",1,4,"DJ MooreDeshaunJJWattsonNov 21, 4:57 am4"
Tre'Quan Smith,https://sports.yahoo.com/nfl/players/31061,WR,$8 Winning Offer,"[['KENNY G BABY', 'https://football.fantasysports.yahoo.com/2018/f1/153194/6', '$0 (Lower Offer)']]",Captain Crunch,https://football.fantasysports.yahoo.com/2018/f1/153194/7,"Nov 21, 4:57 am",1,8,"Tre'Quan SmithCaptain CrunchNov 21, 4:57 am8"
Rashaad Penny,https://sports.yahoo.com/nfl/players/30997,RB,$9 Winning Offer,"[['DeshaunJJWattson', 'https://football.fantasysports.yahoo.com/2018/f1/153194/5', '$5 (Lower Offer)']]",CantStopWontStop,https://football.fantasysports.yahoo.com/2018/f1/153194/3,"Nov 14, 5:57 am",1,9,"Rashaad PennyCantStopWontStopNov 14, 5:57 am9"
Courtland Sutton,https://sports.yahoo.com/nfl/players/31010,WR,$12 Winning Offer,"[['needeyecontact', 'https://football.fantasysports.yahoo.com/2018/f1/153194/4', '$3 (Lower Offer)'], ['Captain Crunch', 'https://football.fantasysports.yahoo.com/2018/f1/153194/7', '$0 (Lower Offer)']]",KENNY G BABY,https://football.fantasysports.yahoo.com/2018/f1/153194/6,"Nov 14, 5:57 am",1,12,"Courtland SuttonKENNY G BABYNov 14, 5:57 am12"
Marquez Valdes-Scantling,https://sports.yahoo.com/nfl/players/31144,WR,$20 Winning Offer,"[['needeyecontact', 'https://football.fantasysports.yahoo.com/2018/f1/153194/4', '$11 (Lower Offer)'], ['WoW', 'https://football.fantasysports.yahoo.com/2018/f1/153194/8', '$5 (Lower Offer)'], ['Captain Crunch', 'https://football.fantasysports.yahoo.com/2018/f1/153194/7', '$3 (Lower Offer)']]",Scott=FreeWin,https://football.fantasysports.yahoo.com/2018/f1/153194/9,"Nov 7, 5:15 am",1,20,"Marquez Valdes-ScantlingScott=FreeWinNov 7, 5:15 am20"
New York,https://sports.yahoo.com/nfl/teams/ny-giants/,DEF,$0 Winning Offer,"[['Pat Actual', 'https://football.fantasysports.yahoo.com/2018/f1/153194/2', '$0 (Invalid claim due to previous transaction)']]",Pat Actual,https://football.fantasysports.yahoo.com/2018/f1/153194/2,"Nov 7, 5:15 am",1,0,"New YorkPat ActualNov 7, 5:15 am0"
