position,manager_id,opponent_id,matchup_url,player,player_url,score,league_url
QB,9,6,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=9&mid2=6&week=15,P. Mahomes ,https://sports.yahoo.com/nfl/players/30123,34.50,https://football.fantasysports.yahoo.com/2021/f1/696126
WR,9,6,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=9&mid2=6&week=15,D. Samuel ,https://sports.yahoo.com/nfl/players/31868,19.13,https://football.fantasysports.yahoo.com/2021/f1/696126
WR,9,6,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=9&mid2=6&week=15,D. Johnson ,https://sports.yahoo.com/nfl/players/31898,8.50,https://football.fantasysports.yahoo.com/2021/f1/696126
WR,9,6,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=9&mid2=6&week=15,K. Osborn ,https://sports.yahoo.com/nfl/players/32846,4.13,https://football.fantasysports.yahoo.com/2021/f1/696126
RB,9,6,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=9&mid2=6&week=15,A. Gibson ,https://sports.yahoo.com/nfl/players/32736,17.13,https://football.fantasysports.yahoo.com/2021/f1/696126
RB,9,6,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=9&mid2=6&week=15,M. Carter ,https://sports.yahoo.com/nfl/players/33495,3.00,https://football.fantasysports.yahoo.com/2021/f1/696126
TE,9,6,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=9&mid2=6&week=15,M. Andrews ,https://sports.yahoo.com/nfl/players/31056,34.00,https://football.fantasysports.yahoo.com/2021/f1/696126
Q/WR/T,9,6,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=9&mid2=6&week=15,T. Hill ,https://sports.yahoo.com/nfl/players/30614,11.83,https://football.fantasysports.yahoo.com/2021/f1/696126
DEF,9,6,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=9&mid2=6&week=15,Denver  - DEF ,https://sports.yahoo.com/nfl/teams/denver/,8.50,https://football.fantasysports.yahoo.com/2021/f1/696126
DEF,9,6,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=9&mid2=6&week=15,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,10.50,https://football.fantasysports.yahoo.com/2021/f1/696126
QB,6,9,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=9&mid2=6&week=15,M. Stafford ,https://sports.yahoo.com/nfl/players/9265,17.83,https://football.fantasysports.yahoo.com/2021/f1/696126
WR,6,9,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=9&mid2=6&week=15,J. Jefferson ,https://sports.yahoo.com/nfl/players/32692,13.88,https://football.fantasysports.yahoo.com/2021/f1/696126
WR,6,9,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=9&mid2=6&week=15,T. Hill ,https://sports.yahoo.com/nfl/players/29399,30.50,https://football.fantasysports.yahoo.com/2021/f1/696126
WR,6,9,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=9&mid2=6&week=15,C. Kirk ,https://sports.yahoo.com/nfl/players/31017,22.25,https://football.fantasysports.yahoo.com/2021/f1/696126
RB,6,9,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=9&mid2=6&week=15,N. Harris ,https://sports.yahoo.com/nfl/players/33412,4.25,https://football.fantasysports.yahoo.com/2021/f1/696126
RB,6,9,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=9&mid2=6&week=15,D. Montgomery ,https://sports.yahoo.com/nfl/players/31905,10.88,https://football.fantasysports.yahoo.com/2021/f1/696126
TE,6,9,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=9&mid2=6&week=15,R. Gronkowski ,https://sports.yahoo.com/nfl/players/24017,4.63,https://football.fantasysports.yahoo.com/2021/f1/696126
Q/WR/T,6,9,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=9&mid2=6&week=15,D. Mills ,https://sports.yahoo.com/nfl/players/33455,16.70,https://football.fantasysports.yahoo.com/2021/f1/696126
DEF,6,9,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=9&mid2=6&week=15,San Francisco  - DEF ,https://sports.yahoo.com/nfl/teams/san-francisco/,16.50,https://football.fantasysports.yahoo.com/2021/f1/696126
DEF,6,9,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=9&mid2=6&week=15,Philadelphia  - DEF ,https://sports.yahoo.com/nfl/teams/philadelphia/,10.00,https://football.fantasysports.yahoo.com/2021/f1/696126
QB,2,8,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=2&mid2=8&week=15,A. Rodgers ,https://sports.yahoo.com/nfl/players/7200,26.78,https://football.fantasysports.yahoo.com/2021/f1/696126
WR,2,8,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=2&mid2=8&week=15,C. Godwin ,https://sports.yahoo.com/nfl/players/30197,9.13,https://football.fantasysports.yahoo.com/2021/f1/696126
WR,2,8,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=2&mid2=8&week=15,J. Chase ,https://sports.yahoo.com/nfl/players/33393,0.88,https://football.fantasysports.yahoo.com/2021/f1/696126
WR,2,8,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=2&mid2=8&week=15,R. Bateman ,https://sports.yahoo.com/nfl/players/33415,1.13,https://football.fantasysports.yahoo.com/2021/f1/696126
RB,2,8,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=2&mid2=8&week=15,A. Kamara ,https://sports.yahoo.com/nfl/players/30180,4.88,https://football.fantasysports.yahoo.com/2021/f1/696126
RB,2,8,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=2&mid2=8&week=15,D. Cook ,https://sports.yahoo.com/nfl/players/30154,12.38,https://football.fantasysports.yahoo.com/2021/f1/696126
TE,2,8,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=2&mid2=8&week=15,M. Gesicki ,https://sports.yahoo.com/nfl/players/31012,7.88,https://football.fantasysports.yahoo.com/2021/f1/696126
Q/WR/T,2,8,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=2&mid2=8&week=15,R. Tannehill ,https://sports.yahoo.com/nfl/players/25718,11.90,https://football.fantasysports.yahoo.com/2021/f1/696126
DEF,2,8,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=2&mid2=8&week=15,Jacksonville  - DEF ,https://sports.yahoo.com/nfl/teams/jacksonville/,3.50,https://football.fantasysports.yahoo.com/2021/f1/696126
DEF,2,8,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=2&mid2=8&week=15,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,9.00,https://football.fantasysports.yahoo.com/2021/f1/696126
QB,8,2,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=2&mid2=8&week=15,K. Cousins ,https://sports.yahoo.com/nfl/players/25812,11.60,https://football.fantasysports.yahoo.com/2021/f1/696126
WR,8,2,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=2&mid2=8&week=15,C. Kupp ,https://sports.yahoo.com/nfl/players/30182,33.63,https://football.fantasysports.yahoo.com/2021/f1/696126
WR,8,2,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=2&mid2=8&week=15,D. Adams ,https://sports.yahoo.com/nfl/players/27581,14.50,https://football.fantasysports.yahoo.com/2021/f1/696126
WR,8,2,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=2&mid2=8&week=15,H. Renfrow ,https://sports.yahoo.com/nfl/players/31981,5.50,https://football.fantasysports.yahoo.com/2021/f1/696126
RB,8,2,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=2&mid2=8&week=15,A. Jones ,https://sports.yahoo.com/nfl/players/30295,15.75,https://football.fantasysports.yahoo.com/2021/f1/696126
RB,8,2,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=2&mid2=8&week=15,M. Gordon ,https://sports.yahoo.com/nfl/players/28403,8.13,https://football.fantasysports.yahoo.com/2021/f1/696126
TE,8,2,https://football.fantasysports.yahoo.com/2021/f1/696126/matchup?mid1=2&mid2=8&week=15,T. Kelce ,https://sports.yahoo.com/nfl/players/26686,40.88,https://football.fantasysports.yahoo.com/2021/f1/696126
