player_name,player_url,position,faab_spend,failed_bids,awardee,awardee_url,award_timestamp,has_failed_bidders,faab_dollars,sort
Curtis Samuel,https://sports.yahoo.com/nfl/players/30153,WR,$20 Winning Offer,"[['MAGA Cracker', 'https://football.fantasysports.yahoo.com/2019/f1/102231/3', '$4 (Lower Offer)'], ['Marquez Exxon Valdez', 'https://football.fantasysports.yahoo.com/2019/f1/102231/9', '$2 (Lower Offer)']]",WeEatinGOOD,https://football.fantasysports.yahoo.com/2019/f1/102231/7,"Sep 2, 3:14 am",1,20,"Curtis SamuelWeEatinGOODSep 2, 3:14 am20"
Detroit,https://sports.yahoo.com/nfl/teams/detroit/,DEF,$6 Winning Offer,"[['WeEatinGOOD', 'https://football.fantasysports.yahoo.com/2019/f1/102231/7', '$0 (Lower Offer)']]",FonziFonarelli,https://football.fantasysports.yahoo.com/2019/f1/102231/2,"Sep 2, 3:14 am",1,6,"DetroitFonziFonarelliSep 2, 3:14 am6"
Justice Hill,https://sports.yahoo.com/nfl/players/31945,RB,$14 Winning Offer,"[['MAGA Cracker', 'https://football.fantasysports.yahoo.com/2019/f1/102231/3', '$0 (Lower Offer)']]",WeEatinGOOD,https://football.fantasysports.yahoo.com/2019/f1/102231/7,"Sep 2, 3:14 am",1,14,"Justice HillWeEatinGOODSep 2, 3:14 am14"
Indianapolis,https://sports.yahoo.com/nfl/teams/indianapolis/,DEF,$5 Winning Offer,"[['WeEatinGOOD', 'https://football.fantasysports.yahoo.com/2019/f1/102231/7', '$2 (Lower Offer)']]",MAGA Cracker,https://football.fantasysports.yahoo.com/2019/f1/102231/3,"Sep 2, 3:14 am",1,5,"IndianapolisMAGA CrackerSep 2, 3:14 am5"
Marcus Mariota,https://sports.yahoo.com/nfl/players/28390,QB,$6 Winning Offer,"[['MAGA Cracker', 'https://football.fantasysports.yahoo.com/2019/f1/102231/3', '$1 (Lower Offer)']]",TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231/1,"Sep 2, 3:14 am",1,6,"Marcus MariotaTurnUrHead&GoffSep 2, 3:14 am6"
New York,https://sports.yahoo.com/nfl/teams/ny-jets/,DEF,$1 Winning Offer,"[['MAGA Cracker', 'https://football.fantasysports.yahoo.com/2019/f1/102231/3', '$0 (Lower Offer)']]",Deez Nutz,https://football.fantasysports.yahoo.com/2019/f1/102231/4,"Sep 2, 3:14 am",1,1,"New YorkDeez NutzSep 2, 3:14 am1"
Dion Lewis,https://sports.yahoo.com/nfl/players/24936,RB,$9 Waiver,,Talented Mr. Ridley,https://football.fantasysports.yahoo.com/2019/f1/102231/10,"Dec 11, 4:19 am",0,9,"Dion LewisTalented Mr. RidleyDec 11, 4:19 am9"
James Washington,https://sports.yahoo.com/nfl/players/31030,WR,$1 Waiver,,Deez Nutz,https://football.fantasysports.yahoo.com/2019/f1/102231/4,"Dec 4, 4:08 am",0,1,"James WashingtonDeez NutzDec 4, 4:08 am1"
Raheem Mostert,https://sports.yahoo.com/nfl/players/28654,RB,$4 Waiver,,Deez Nutz,https://football.fantasysports.yahoo.com/2019/f1/102231/4,"Dec 4, 4:08 am",0,4,"Raheem MostertDeez NutzDec 4, 4:08 am4"
Las Vegas,https://sports.yahoo.com/nfl/teams/las-vegas/,DEF,$5 Waiver,,MAGA Cracker,https://football.fantasysports.yahoo.com/2019/f1/102231/3,"Dec 4, 4:08 am",0,5,"Las VegasMAGA CrackerDec 4, 4:08 am5"
Darwin Thompson,https://sports.yahoo.com/nfl/players/32046,RB,$11 Waiver,,Deez Nutz,https://football.fantasysports.yahoo.com/2019/f1/102231/4,"Dec 4, 4:08 am",0,11,"Darwin ThompsonDeez NutzDec 4, 4:08 am11"
Houston,https://sports.yahoo.com/nfl/teams/houston/,DEF,$20 Waiver,,MAGA Cracker,https://football.fantasysports.yahoo.com/2019/f1/102231/3,"Dec 4, 4:08 am",0,20,"HoustonMAGA CrackerDec 4, 4:08 am20"
Greg Olsen,https://sports.yahoo.com/nfl/players/8285,TE,$2 Waiver,,Talented Mr. Ridley,https://football.fantasysports.yahoo.com/2019/f1/102231/10,"Nov 29, 3:43 am",0,2,"Greg OlsenTalented Mr. RidleyNov 29, 3:43 am2"
Noah Fant,https://sports.yahoo.com/nfl/players/31852,TE,$1 Waiver,,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231/9,"Nov 20, 6:30 am",0,1,"Noah FantMarquez Exxon ValdezNov 20, 6:30 am1"
Cincinnati,https://sports.yahoo.com/nfl/teams/cincinnati/,DEF,$2 Waiver,,Talented Mr. Ridley,https://football.fantasysports.yahoo.com/2019/f1/102231/10,"Nov 20, 6:30 am",0,2,"CincinnatiTalented Mr. RidleyNov 20, 6:30 am2"
Jonathan Williams,https://sports.yahoo.com/nfl/players/29390,RB,$27 Waiver,,FonziFonarelli,https://football.fantasysports.yahoo.com/2019/f1/102231/2,"Nov 20, 6:30 am",0,27,"Jonathan WilliamsFonziFonarelliNov 20, 6:30 am27"
Houston,https://sports.yahoo.com/nfl/teams/houston/,DEF,$1 Waiver,,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231/9,"Nov 16, 3:35 am",0,1,"HoustonMarquez Exxon ValdezNov 16, 3:35 am1"
Josh Gordon,https://sports.yahoo.com/nfl/players/26561,WR,$11 Waiver,,Deez Nutz,https://football.fantasysports.yahoo.com/2019/f1/102231/4,"Nov 15, 3:37 am",0,11,"Josh GordonDeez NutzNov 15, 3:37 am11"
A.J. Green,https://sports.yahoo.com/nfl/players/24791,WR,$4 Waiver,,Brown Rehab Facility,https://football.fantasysports.yahoo.com/2019/f1/102231/8,"Nov 13, 4:24 am",0,4,"A.J. GreenBrown Rehab FacilityNov 13, 4:24 am4"
Jared Cook,https://sports.yahoo.com/nfl/players/9353,TE,$8 Waiver,,TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231/1,"Nov 13, 4:24 am",0,8,"Jared CookTurnUrHead&GoffNov 13, 4:24 am8"
Curtis Samuel,https://sports.yahoo.com/nfl/players/30153,WR,$1 Waiver,,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231/9,"Nov 6, 4:39 am",0,1,"Curtis SamuelMarquez Exxon ValdezNov 6, 4:39 am1"
Will Fuller V,https://sports.yahoo.com/nfl/players/29255,WR,$3 Waiver,,MAGA Cracker,https://football.fantasysports.yahoo.com/2019/f1/102231/3,"Nov 6, 4:39 am",0,3,"Will Fuller VMAGA CrackerNov 6, 4:39 am3"
Jack Doyle,https://sports.yahoo.com/nfl/players/27299,TE,$14 Waiver,,Talented Mr. Ridley,https://football.fantasysports.yahoo.com/2019/f1/102231/10,"Nov 6, 4:39 am",0,14,"Jack DoyleTalented Mr. RidleyNov 6, 4:39 am14"
Jamison Crowder,https://sports.yahoo.com/nfl/players/28493,WR,$1 Waiver,,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231/9,"Nov 2, 3:44 am",0,1,"Jamison CrowderMarquez Exxon ValdezNov 2, 3:44 am1"
O.J. Howard,https://sports.yahoo.com/nfl/players/30132,TE,$2 Waiver,,Rockin a Chubb,https://football.fantasysports.yahoo.com/2019/f1/102231/5,"Oct 30, 4:33 am",0,2,"O.J. HowardRockin a ChubbOct 30, 4:33 am2"
Duke Johnson,https://sports.yahoo.com/nfl/players/28465,RB,$4 Waiver,,FonziFonarelli,https://football.fantasysports.yahoo.com/2019/f1/102231/2,"Oct 30, 4:33 am",0,4,"Duke JohnsonFonziFonarelliOct 30, 4:33 am4"
Sterling Shepard,https://sports.yahoo.com/nfl/players/29274,WR,$5 Waiver,,Brown Rehab Facility,https://football.fantasysports.yahoo.com/2019/f1/102231/8,"Oct 30, 4:33 am",0,5,"Sterling ShepardBrown Rehab FacilityOct 30, 4:33 am5"
Ryan Fitzpatrick,https://sports.yahoo.com/nfl/players/7426,QB,$8 Waiver,,TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231/1,"Oct 30, 4:33 am",0,8,"Ryan FitzpatrickTurnUrHead&GoffOct 30, 4:33 am8"
T.J. Hockenson,https://sports.yahoo.com/nfl/players/31840,TE,$5 Waiver,,Rockin a Chubb,https://football.fantasysports.yahoo.com/2019/f1/102231/5,"Oct 26, 3:44 am",0,5,"T.J. HockensonRockin a ChubbOct 26, 3:44 am5"
Tampa Bay,https://sports.yahoo.com/nfl/teams/tampa-bay/,DEF,$3 Waiver,,TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231/1,"Oct 25, 3:26 am",0,3,"Tampa BayTurnUrHead&GoffOct 25, 3:26 am3"
Phillip Dorsett,https://sports.yahoo.com/nfl/players/28417,WR,$3 Waiver,,TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231/1,"Oct 25, 3:26 am",0,3,"Phillip DorsettTurnUrHead&GoffOct 25, 3:26 am3"
