team_key,name,rank,playoff_seed,outcome_totals,streak,points_for,points_against,wins,losses,ties,percentage,moves,faab_balance,league_key
257.l.211725.t.7,RomoSexualTendencies,7,7,"{'wins': '4', 'losses': '9', 'ties': 0, 'percentage': '.308'}","{'type': 'win', 'value': '1'}",1246.98,1422.84,4,9,0,.308,30,1,257.l.211725
257.l.211725.t.3,Casselblanca,8,8,"{'wins': '2', 'losses': '11', 'ties': 0, 'percentage': '.154'}","{'type': 'loss', 'value': '2'}",1168.10,1324.8999999999996,2,11,0,.154,11,1,257.l.211725
273.l.324073.t.2,BeadsMeOff,1,1,"{'wins': '10', 'losses': '3', 'ties': 0, 'percentage': '.769'}","{'type': 'win', 'value': '1'}",1360.94,1216.5400000000002,10,3,0,.769,36,0,273.l.324073
273.l.324073.t.1,TheSandusky9(YrOlds),2,2,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'win', 'value': '7'}",1307.32,1180.08,9,4,0,.692,27,4,273.l.324073
273.l.324073.t.6,Boba Fett's Bounty,3,4,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '3'}",1288.78,1267.0800000000002,7,6,0,.538,24,1,273.l.324073
273.l.324073.t.5,AndreHasAHuge...,4,3,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '2'}",1378.50,1294.7,8,5,0,.615,21,0,273.l.324073
273.l.324073.t.8,SmittenForWitten,5,6,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'win', 'value': '1'}",1262.70,1272.48,5,8,0,.385,21,5,273.l.324073
273.l.324073.t.3,BreesInTheTrap,6,5,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'loss', 'value': '1'}",1255.30,1231.8400000000001,6,7,0,.462,28,2,273.l.324073
273.l.324073.t.4,Tootsie Sproles,7,8,"{'wins': '2', 'losses': '11', 'ties': 0, 'percentage': '.154'}","{'type': 'loss', 'value': '4'}",1100.16,1397.7799999999997,2,11,0,.154,25,2,273.l.324073
273.l.324073.t.7,PD3,8,7,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '1'}",1211.40,1304.6000000000001,5,8,0,.385,36,4,273.l.324073
314.l.378899.t.3,Breezus,1,4,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'win', 'value': '5'}",1427.34,1314.78,7,6,0,.538,17,2,314.l.378899
314.l.378899.t.6,AndreHasAHuge...,2,2,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '3'}",1378.74,1289.8400000000001,8,5,0,.615,47,1,314.l.378899
314.l.378899.t.8,2CDezNuts,3,1,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'win', 'value': '2'}",1415.96,1259.44,9,4,0,.692,22,3,314.l.378899
314.l.378899.t.4,RG-3PO,4,6,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '3'}",1267.86,1386.5800000000002,5,8,0,.385,18,1,314.l.378899
314.l.378899.t.2,BeadsMeOff,5,3,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'loss', 'value': '2'}",1289.86,1174.1,8,5,0,.615,29,1,314.l.378899
314.l.378899.t.5,IBeSpeakinSwaghili,6,5,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '1'}",1318.28,1324.0600000000002,7,6,0,.538,34,1,314.l.378899
314.l.378899.t.1,Jacquizz Stains,7,8,"{'wins': '3', 'losses': '10', 'ties': 0, 'percentage': '.231'}","{'type': 'win', 'value': '1'}",1147.32,1311.76,3,10,0,.231,28,0,314.l.378899
314.l.378899.t.7,Chalupa Batman,8,7,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '4'}",1191.00,1375.8000000000002,5,8,0,.385,29,1,314.l.378899
331.l.329823.t.6,DEZstiny,1,3,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '1'}",1265.36,1271.5600000000002,7,6,0,.538,38,3,331.l.329823
331.l.329823.t.5,TURN DOWN 4 WATT,2,4,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'win', 'value': '1'}",1379.78,1339.9400000000003,6,7,0,.462,23,1,331.l.329823
331.l.329823.t.4,Breezus,3,2,"{'wins': '10', 'losses': '3', 'ties': 0, 'percentage': '.769'}","{'type': 'win', 'value': '7'}",1292.28,1160.06,10,3,0,.769,33,3,331.l.329823
331.l.329823.t.10,IBeSpeakinSwaghili,4,1,"{'wins': '12', 'losses': '1', 'ties': 0, 'percentage': '.923'}","{'type': 'win', 'value': '3'}",1454.10,1086.44,12,1,0,.923,34,3,331.l.329823
331.l.329823.t.8,TakeItToTheHauschka,5,6,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'win', 'value': '1'}",1206.06,1242.8,6,7,0,.462,33,4,331.l.329823
331.l.329823.t.2,BeadsMeOff,6,5,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'loss', 'value': '1'}",1243.68,1232.1200000000001,6,7,0,.462,39,6,331.l.329823
331.l.329823.t.1,It Hurts When Eifert,7,7,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'loss', 'value': '2'}",1146.50,1170.2599999999998,6,7,0,.462,24,1,331.l.329823
331.l.329823.t.3,AndreHasAHuge...,8,9,"{'wins': '4', 'losses': '9', 'ties': 0, 'percentage': '.308'}","{'type': 'loss', 'value': '3'}",1233.42,1399.8000000000002,4,9,0,.308,20,0,331.l.329823
331.l.329823.t.7,White Cassel,9,10,"{'wins': '3', 'losses': '10', 'ties': 0, 'percentage': '.231'}","{'type': 'loss', 'value': '2'}",1187.06,1435.1599999999999,3,10,0,.231,22,0,331.l.329823
331.l.329823.t.9,CantStopWontStop,10,8,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'win', 'value': '2'}",1086.66,1156.7599999999998,5,8,0,.385,30,1,331.l.329823
348.l.216667.t.7,Abdullah Matata,1,2,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'win', 'value': '2'}",1257.24,1216.2600000000002,9,4,0,.692,23,5,348.l.216667
348.l.216667.t.10,IBeSpeakinSwaghili,2,1,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'loss', 'value': '2'}",1361.94,1189.2199999999998,9,4,0,.692,50,2,348.l.216667
348.l.216667.t.2,Cooks & Books,3,3,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '2'}",1362.30,1245.0800000000002,8,5,0,.615,40,3,348.l.216667
348.l.216667.t.3,1st Back2Back,4,5,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '1'}",1211.46,1201.66,8,5,0,.615,46,2,348.l.216667
348.l.216667.t.1,JULIO! JULIO! JULIO!,5,6,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'win', 'value': '2'}",1205.20,1224.02,7,6,0,.538,56,1,348.l.216667
348.l.216667.t.8,Breezus,6,4,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'loss', 'value': '1'}",1266.16,1169.0800000000002,8,5,0,.615,28,2,348.l.216667
348.l.216667.t.6,CantStopWontStop,7,8,"{'wins': '4', 'losses': '9', 'ties': 0, 'percentage': '.308'}","{'type': 'win', 'value': '1'}",1275.92,1343.1800000000003,4,9,0,.308,23,1,348.l.216667
348.l.216667.t.5,Luke use the Forsett,8,7,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '1'}",1193.52,1248.96,7,6,0,.538,33,0,348.l.216667
348.l.216667.t.4,WAIVER!!,9,10,"{'wins': '2', 'losses': '11', 'ties': 0, 'percentage': '.154'}","{'type': 'loss', 'value': '2'}",1089.74,1284.5599999999997,2,11,0,.154,24,2,348.l.216667
348.l.216667.t.9,More Than A Thielen,10,9,"{'wins': '3', 'losses': '10', 'ties': 0, 'percentage': '.231'}","{'type': 'loss', 'value': '3'}",1219.52,1320.9799999999998,3,10,0,.231,38,0,348.l.216667
359.l.287220.t.6,ForteShadesOfGrey,1,2,"{'wins': '6', 'losses': '4', 'ties': 0, 'percentage': '.600'}","{'type': 'loss', 'value': '3'}",1287.65,1102.3999999999999,6,4,0,.600,19,0,359.l.287220
359.l.287220.t.4,Edward Forte Hands,2,1,"{'wins': '9', 'losses': '1', 'ties': 0, 'percentage': '.900'}","{'type': 'win', 'value': '5'}",1139.65,969.3,9,1,0,.900,11,0,359.l.287220
359.l.287220.t.3,Danny Football,3,5,"{'wins': '5', 'losses': '5', 'ties': 0, 'percentage': '.500'}","{'type': 'win', 'value': '2'}",1139.65,1068.4,5,5,0,.500,12,0,359.l.287220
359.l.287220.t.10,Definitely Jess,4,6,"{'wins': '5', 'losses': '5', 'ties': 0, 'percentage': '.500'}","{'type': 'loss', 'value': '1'}",1060.00,1074.1499999999999,5,5,0,.500,15,0,359.l.287220
359.l.287220.t.8,throw up your X,5,4,"{'wins': '6', 'losses': '4', 'ties': 0, 'percentage': '.600'}","{'type': 'loss', 'value': '1'}",1125.70,1047.3000000000002,6,4,0,.600,17,0,359.l.287220
359.l.287220.t.1,Fear The Walking Dez,6,3,"{'wins': '6', 'losses': '4', 'ties': 0, 'percentage': '.600'}","{'type': 'win', 'value': '1'}",1161.80,1158.3999999999999,6,4,0,.600,17,0,359.l.287220
359.l.287220.t.9,MNah-MNah,7,7,"{'wins': '5', 'losses': '5', 'ties': 0, 'percentage': '.500'}","{'type': 'win', 'value': '2'}",1041.85,1071.1,5,5,0,.500,13,0,359.l.287220
359.l.287220.t.5,Los Gatos de Trueno,8,9,"{'wins': '3', 'losses': '7', 'ties': 0, 'percentage': '.300'}","{'type': 'loss', 'value': '7'}",1002.45,1042.2,3,7,0,.300,9,0,359.l.287220
359.l.287220.t.7,Rachelle's Team,9,8,"{'wins': '5', 'losses': '5', 'ties': 0, 'percentage': '.500'}","{'type': 'win', 'value': '1'}",993.60,1018.6999999999999,5,5,0,.500,1,0,359.l.287220
359.l.287220.t.2,babycakesgoingdeep,10,10,"{'wins': 0, 'losses': '10', 'ties': 0, 'percentage': '.000'}","{'type': 'loss', 'value': '10'}",689.00,1089.4,0,10,0,.000,0,0,359.l.287220
359.l.370526.t.1,UKnoNothinJonSnorlax,1,2,"{'wins': '10', 'losses': '3', 'ties': 0, 'percentage': '.769'}","{'type': 'loss', 'value': '1'}",1715.55,1542.8399999999997,10,3,0,.769,47,1,359.l.370526
359.l.370526.t.10,OBJYN,2,1,"{'wins': '10', 'losses': '3', 'ties': 0, 'percentage': '.769'}","{'type': 'loss', 'value': '1'}",1853.79,1603.02,10,3,0,.769,22,1,359.l.370526
359.l.370526.t.3,RawlDogginIt,3,4,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '4'}",1738.41,1618.07,8,5,0,.615,20,1,359.l.370526
359.l.370526.t.6,Le'Veon Bellsprout,4,3,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'win', 'value': '1'}",1801.46,1613.72,9,4,0,.692,40,0,359.l.370526
359.l.370526.t.8,Brock and Roll,5,5,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '3'}",1621.84,1578.0900000000001,8,5,0,.615,31,0,359.l.370526
359.l.370526.t.9,Magic Skol Bus,6,6,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '1'}",1682.75,1770.8200000000002,5,8,0,.385,32,1,359.l.370526
359.l.370526.t.2,FA-F-FOOTBALLrappin,7,9,"{'wins': '4', 'losses': '9', 'ties': 0, 'percentage': '.308'}","{'type': 'win', 'value': '1'}",1561.22,1688.8900000000003,4,9,0,.308,28,2,359.l.370526
359.l.370526.t.7,-1000 Pat,8,10,"{'wins': '1', 'losses': '12', 'ties': 0, 'percentage': '.077'}","{'type': 'loss', 'value': '3'}",1543.41,1792.9999999999998,1,12,0,.077,50,3,359.l.370526
