team_key,name,rank,playoff_seed,outcome_totals,streak,points_for,points_against,wins,losses,ties,percentage,moves,faab_balance,league_key
380.l.844269.t.6,Tripping Billies,9,7,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'win', 'value': '3'}",1480.85,1558.95,6,7,0,.462,7,1,380.l.844269
380.l.844269.t.3,Edward Forte Hands,10,8,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'win', 'value': '1'}",1452.60,1556.5,5,8,0,.385,10,1,380.l.844269
390.l.102101.t.3,Definitely Jess,1,1,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'win', 'value': '5'}",1932.50,1687.65,9,4,0,.692,32,0,390.l.102101
390.l.102101.t.1,Go Luck Yourself,2,2,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '1'}",1913.05,1842.25,8,5,0,.615,28,0,390.l.102101
390.l.102101.t.5,How Andrew Lucked Me,3,5,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '1'}",1879.75,1810.6499999999996,7,6,0,.538,19,0,390.l.102101
390.l.102101.t.6,Los Gatos de Trueno,4,3,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '1'}",1847.55,1815.1499999999996,8,5,0,.615,4,0,390.l.102101
390.l.102101.t.2,Danny Football,5,6,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'win', 'value': '1'}",1796.95,1878.0000000000002,7,6,0,.538,26,0,390.l.102101
390.l.102101.t.7,Rollin With Mahomes,6,4,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'win', 'value': '4'}",1991.20,1864.1500000000003,7,6,0,.538,20,0,390.l.102101
390.l.102101.t.4,Edward Forte Hands,7,7,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '1'}",1745.55,1765.6500000000003,7,6,0,.538,13,0,390.l.102101
390.l.102101.t.10,Tripping Billies,8,9,"{'wins': '4', 'losses': '9', 'ties': 0, 'percentage': '.308'}","{'type': 'loss', 'value': '3'}",1701.70,1944.2999999999997,4,9,0,.308,11,0,390.l.102101
390.l.102101.t.8,MNah-MNah,9,8,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '1'}",1751.25,1825.5500000000002,5,8,0,.385,13,0,390.l.102101
390.l.102101.t.9,Rachelle's Team,10,10,"{'wins': '3', 'losses': '10', 'ties': 0, 'percentage': '.231'}","{'type': 'loss', 'value': '6'}",1669.30,1795.45,3,10,0,.231,9,0,390.l.102101
390.l.102231.t.8,Brown Rehab Facility,1,2,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'loss', 'value': '2'}",2107.81,1896.26,8,5,0,.615,42,0,390.l.102231
390.l.102231.t.3,MAGA Cracker,2,1,"{'wins': '11', 'losses': '2', 'ties': 0, 'percentage': '.846'}","{'type': 'win', 'value': '6'}",2286.88,1838.1299999999999,11,2,0,.846,37,4,390.l.102231
390.l.102231.t.9,Marquez Exxon Valdez,3,6,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'win', 'value': '4'}",1901.55,2035.2299999999998,6,7,0,.462,54,6,390.l.102231
390.l.102231.t.10,Talented Mr. Ridley,4,5,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'win', 'value': '2'}",1899.47,1891.95,7,6,0,.538,15,3,390.l.102231
390.l.102231.t.7,WeEatinGOOD,5,3,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'win', 'value': '2'}",2072.04,1894.3600000000001,7,6,0,.538,33,1,390.l.102231
390.l.102231.t.4,Deez Nutz,6,4,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '2'}",1963.06,1894.52,7,6,0,.538,22,1,390.l.102231
390.l.102231.t.1,TurnUrHead&Goff,7,7,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'win', 'value': '2'}",1896.65,1915.5199999999998,6,7,0,.462,21,2,390.l.102231
390.l.102231.t.6,fuMinshew,8,9,"{'wins': '4', 'losses': '9', 'ties': 0, 'percentage': '.308'}","{'type': 'loss', 'value': '4'}",1898.53,2178.73,4,9,0,.308,37,2,390.l.102231
390.l.102231.t.2,FonziFonarelli,9,8,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'loss', 'value': '2'}",1816.22,2005.48,6,7,0,.462,22,6,390.l.102231
390.l.102231.t.5,Rockin a Chubb,10,10,"{'wins': '3', 'losses': '10', 'ties': 0, 'percentage': '.231'}","{'type': 'loss', 'value': '5'}",1695.00,1987.0299999999997,3,10,0,.231,34,3,390.l.102231
399.l.522487.t.1,Go Luck Yourself,1,1,"{'wins': '5', 'losses': '1', 'ties': 0, 'percentage': '.833'}","{'type': 'loss', 'value': '1'}",864.39,758.34,5,1,0,.833,7,0,399.l.522487
399.l.522487.t.4,Edward Forte Hands,2,3,"{'wins': '3', 'losses': '3', 'ties': 0, 'percentage': '.500'}","{'type': 'loss', 'value': '3'}",866.87,733.5,3,3,0,.500,0,0,399.l.522487
399.l.522487.t.6,Los Gatos de Trueno,3,4,"{'wins': '3', 'losses': '3', 'ties': 0, 'percentage': '.500'}","{'type': 'win', 'value': '3'}",760.56,776.4300000000001,3,3,0,.500,0,0,399.l.522487
399.l.522487.t.2,Danny Football,4,2,"{'wins': '5', 'losses': '1', 'ties': 0, 'percentage': '.833'}","{'type': 'win', 'value': '3'}",861.15,713.74,5,1,0,.833,11,0,399.l.522487
399.l.522487.t.3,Definitely Jess,5,6,"{'wins': '3', 'losses': '3', 'ties': 0, 'percentage': '.500'}","{'type': 'win', 'value': '1'}",670.58,635.92,3,3,0,.500,5,0,399.l.522487
399.l.522487.t.5,How Andrew Lucked Me,6,5,"{'wins': '3', 'losses': '3', 'ties': 0, 'percentage': '.500'}","{'type': 'win', 'value': '1'}",754.31,718.96,3,3,0,.500,19,0,399.l.522487
399.l.522487.t.9,Rachelle's Team,7,7,"{'wins': '2', 'losses': '4', 'ties': 0, 'percentage': '.333'}","{'type': 'loss', 'value': '1'}",732.37,850.9900000000001,2,4,0,.333,0,0,399.l.522487
399.l.522487.t.10,Tripping Billies,8,9,"{'wins': '2', 'losses': '4', 'ties': 0, 'percentage': '.333'}","{'type': 'loss', 'value': '1'}",675.64,677.47,2,4,0,.333,0,0,399.l.522487
399.l.522487.t.7,Rollin With Mahomes,9,8,"{'wins': '2', 'losses': '4', 'ties': 0, 'percentage': '.333'}","{'type': 'loss', 'value': '3'}",700.92,784.49,2,4,0,.333,2,0,399.l.522487
399.l.522487.t.8,MNah-MNah,10,10,"{'wins': '2', 'losses': '4', 'ties': 0, 'percentage': '.333'}","{'type': 'win', 'value': '1'}",504.93,741.88,2,4,0,.333,0,0,399.l.522487
399.l.523631.t.9,Did It All 4 DiNucci,1,2,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'win', 'value': '1'}",2137.30,1895.4900000000002,9,4,0,.692,55,2,399.l.523631
399.l.523631.t.1,2018 Pro Bowlers,2,5,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'win', 'value': '2'}",2004.16,2111.98,7,6,0,.538,20,2,399.l.523631
399.l.523631.t.5,2 CeeDeez Nuts,3,1,"{'wins': '10', 'losses': '3', 'ties': 0, 'percentage': '.769'}","{'type': 'loss', 'value': '1'}",1994.87,1820.3700000000001,10,3,0,.769,36,2,399.l.523631
399.l.523631.t.4,Landis,4,6,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '3'}",1938.83,2002.1499999999996,5,8,0,.385,44,1,399.l.523631
399.l.523631.t.7,WeEatinGOOD,5,4,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'loss', 'value': '1'}",2068.66,1914.7,6,7,0,.462,55,0,399.l.523631
399.l.523631.t.2,FonziFonarelli,6,3,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'win', 'value': '1'}",1976.36,1898.4699999999998,7,6,0,.538,30,0,399.l.523631
399.l.523631.t.3,1.25 Dick Sandwich,7,8,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'win', 'value': '3'}",1919.62,1962.3300000000002,6,7,0,.462,35,1,399.l.523631
399.l.523631.t.8,Waiver Wire Wonders,8,10,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'win', 'value': '1'}",1783.80,1882.69,5,8,0,.385,37,1,399.l.523631
399.l.523631.t.6,Aurturshelbysteam,9,9,"{'wins': '4', 'losses': '9', 'ties': 0, 'percentage': '.308'}","{'type': 'loss', 'value': '1'}",1811.36,2039.54,4,9,0,.308,29,1,399.l.523631
399.l.523631.t.10,JOEVID-19,10,7,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'loss', 'value': '2'}",1931.11,2038.35,6,7,0,.462,27,2,399.l.523631
406.l.1273347.t.5,Ampipe Bulldogs,1,2,"{'wins': '9', 'losses': '6', 'ties': 0, 'percentage': '.600'}","{'type': 'win', 'value': '4'}",1817.30,1788.5399999999997,9,6,0,.600,21,0,406.l.1273347
406.l.1273347.t.6,JIM MULLAN's Superb Team,2,4,"{'wins': '9', 'losses': '6', 'ties': 0, 'percentage': '.600'}","{'type': 'loss', 'value': '1'}",1701.14,1527.1600000000003,9,6,0,.600,18,0,406.l.1273347
406.l.1273347.t.9,Team Auto Chang,3,3,"{'wins': '9', 'losses': '6', 'ties': 0, 'percentage': '.600'}","{'type': 'win', 'value': '3'}",1737.20,1606.54,9,6,0,.600,21,0,406.l.1273347
406.l.1273347.t.8,Mayor W,4,1,"{'wins': '10', 'losses': '5', 'ties': 0, 'percentage': '.667'}","{'type': 'loss', 'value': '1'}",1881.32,1627.64,10,5,0,.667,5,0,406.l.1273347
406.l.1273347.t.10,Standard Deviations,5,5,"{'wins': '7', 'losses': '8', 'ties': 0, 'percentage': '.467'}","{'type': 'loss', 'value': '2'}",1665.66,1674.7800000000004,7,8,0,.467,54,0,406.l.1273347
406.l.1273347.t.2,Southern Hospitality,6,7,"{'wins': '7', 'losses': '8', 'ties': 0, 'percentage': '.467'}","{'type': 'win', 'value': '1'}",1638.20,1673.7,7,8,0,.467,33,0,406.l.1273347
406.l.1273347.t.4,2nd TO NONE!,7,8,"{'wins': '7', 'losses': '8', 'ties': 0, 'percentage': '.467'}","{'type': 'win', 'value': '1'}",1493.54,1573.32,7,8,0,.467,6,0,406.l.1273347
406.l.1273347.t.1,Free Smoke 💨,8,6,"{'wins': '7', 'losses': '8', 'ties': 0, 'percentage': '.467'}","{'type': 'win', 'value': '1'}",1642.36,1708.7,7,8,0,.467,15,0,406.l.1273347
406.l.1273347.t.7,Minutemen,9,,"{'wins': '6', 'losses': '9', 'ties': 0, 'percentage': '.400'}","{'type': 'loss', 'value': '3'}",1635.12,1771.5800000000002,6,9,0,.400,44,0,406.l.1273347
406.l.1273347.t.3,Bad Attitudes,10,,"{'wins': '4', 'losses': '11', 'ties': 0, 'percentage': '.267'}","{'type': 'loss', 'value': '1'}",1424.28,1684.1599999999996,4,11,0,.267,16,0,406.l.1273347
406.l.622085.t.1,Go Luck Yourself,,,"{'wins': 0, 'losses': 0, 'ties': 0, 'percentage': ''}",,0,0.0,0,0,0,,0,0,406.l.622085
406.l.622085.t.2,Danny Football,,,"{'wins': 0, 'losses': 0, 'ties': 0, 'percentage': ''}",,0,0.0,0,0,0,,0,0,406.l.622085
406.l.622085.t.3,Definitely Jess,,,"{'wins': 0, 'losses': 0, 'ties': 0, 'percentage': ''}",,0,0.0,0,0,0,,0,0,406.l.622085
406.l.622085.t.4,Edward Forte Hands,,,"{'wins': 0, 'losses': 0, 'ties': 0, 'percentage': ''}",,0,0.0,0,0,0,,0,0,406.l.622085
406.l.622085.t.5,How Andrew Lucked Me,,,"{'wins': 0, 'losses': 0, 'ties': 0, 'percentage': ''}",,0,0.0,0,0,0,,0,0,406.l.622085
406.l.622085.t.6,Los Gatos de Trueno,,,"{'wins': 0, 'losses': 0, 'ties': 0, 'percentage': ''}",,0,0.0,0,0,0,,0,0,406.l.622085
406.l.622085.t.7,Rollin With Mahomes,,,"{'wins': 0, 'losses': 0, 'ties': 0, 'percentage': ''}",,0,0.0,0,0,0,,0,0,406.l.622085
406.l.622085.t.8,MNah-MNah,,,"{'wins': 0, 'losses': 0, 'ties': 0, 'percentage': ''}",,0,0.0,0,0,0,,0,0,406.l.622085
406.l.622085.t.9,Rachelle's Team,,,"{'wins': 0, 'losses': 0, 'ties': 0, 'percentage': ''}",,0,0.0,0,0,0,,0,0,406.l.622085
406.l.622085.t.10,Tripping Billies,,,"{'wins': 0, 'losses': 0, 'ties': 0, 'percentage': ''}",,0,0.0,0,0,0,,0,0,406.l.622085
406.l.696126.t.8,2 Packers 1 Kupp,1,6,"{'wins': '6', 'losses': '8', 'ties': 0, 'percentage': '.429'}","{'type': 'win', 'value': '1'}",2282.83,2203.35,6,8,0,.429,35,4,406.l.696126
406.l.696126.t.9,Where Mahomes At?,2,4,"{'wins': '8', 'losses': '6', 'ties': 0, 'percentage': '.571'}","{'type': 'win', 'value': '1'}",2206.39,2141.13,8,6,0,.571,42,3,406.l.696126
406.l.696126.t.4,Slaw Bunnies,3,1,"{'wins': '10', 'losses': '4', 'ties': 0, 'percentage': '.714'}","{'type': 'win', 'value': '3'}",2246.65,1957.8100000000004,10,4,0,.714,37,0,406.l.696126
406.l.696126.t.7,2ManyUrklesOnYourTeam,4,2,"{'wins': '10', 'losses': '4', 'ties': 0, 'percentage': '.714'}","{'type': 'loss', 'value': '1'}",2213.85,1885.9800000000002,10,4,0,.714,25,0,406.l.696126
406.l.696126.t.2,FonziFonarelli,5,3,"{'wins': '9', 'losses': '5', 'ties': 0, 'percentage': '.643'}","{'type': 'win', 'value': '1'}",2144.54,2015.1599999999999,9,5,0,.643,46,0,406.l.696126
406.l.696126.t.6,Najee moma,6,5,"{'wins': '7', 'losses': '7', 'ties': 0, 'percentage': '.500'}","{'type': 'loss', 'value': '1'}",2022.51,2232.0,7,7,0,.500,34,1,406.l.696126
406.l.696126.t.10,Hunt Fournette October,7,8,"{'wins': '5', 'losses': '9', 'ties': 0, 'percentage': '.357'}","{'type': 'loss', 'value': '2'}",1967.75,2152.7700000000004,5,9,0,.357,40,2,406.l.696126
406.l.696126.t.5,Shooting For 1st,8,10,"{'wins': '4', 'losses': '10', 'ties': 0, 'percentage': '.286'}","{'type': 'loss', 'value': '1'}",1836.99,2048.02,4,10,0,.286,29,4,406.l.696126
406.l.696126.t.3,Hot Freshman RBs,9,9,"{'wins': '4', 'losses': '10', 'ties': 0, 'percentage': '.286'}","{'type': 'win', 'value': '2'}",2002.98,2148.28,4,10,0,.286,40,4,406.l.696126
406.l.696126.t.1,Unsolicited Dak pix,10,7,"{'wins': '7', 'losses': '7', 'ties': 0, 'percentage': '.500'}","{'type': 'loss', 'value': '3'}",1990.30,2130.29,7,7,0,.500,44,0,406.l.696126
414.l.1399238.t.2,matt's Excellent Team,1,3,"{'wins': '11', 'losses': '4', 'ties': 0, 'percentage': '.733'}","{'type': 'win', 'value': '2'}",1629.60,1425.3,11,4,0,.733,34,0,414.l.1399238
414.l.1399238.t.10,David's Dazzling Team,2,4,"{'wins': '8', 'losses': '7', 'ties': 0, 'percentage': '.533'}","{'type': 'win', 'value': '1'}",1337.38,1399.42,8,7,0,.533,1,0,414.l.1399238
414.l.1399238.t.8,G.'s Awesome Team,3,2,"{'wins': '12', 'losses': '3', 'ties': 0, 'percentage': '.800'}","{'type': 'win', 'value': '2'}",1662.40,1470.5,12,3,0,.800,1,0,414.l.1399238
414.l.1399238.t.7,Raptors's Brilliant Team,4,1,"{'wins': '12', 'losses': '3', 'ties': 0, 'percentage': '.800'}","{'type': 'win', 'value': '4'}",1716.68,1360.2600000000002,12,3,0,.800,7,0,414.l.1399238
414.l.1399238.t.1,the's Tip-Top Team,5,8,"{'wins': '5', 'losses': '10', 'ties': 0, 'percentage': '.333'}","{'type': 'loss', 'value': '3'}",1520.64,1673.42,5,10,0,.333,0,0,414.l.1399238
414.l.1399238.t.3,Ben's Boss Team,6,7,"{'wins': '7', 'losses': '8', 'ties': 0, 'percentage': '.467'}","{'type': 'win', 'value': '6'}",1410.18,1468.76,7,8,0,.467,3,0,414.l.1399238
414.l.1399238.t.6,Craig's Champion Team,7,5,"{'wins': '7', 'losses': '8', 'ties': 0, 'percentage': '.467'}","{'type': 'loss', 'value': '1'}",1587.82,1474.6200000000001,7,8,0,.467,3,0,414.l.1399238
414.l.1399238.t.9,Standard Deviations,8,6,"{'wins': '7', 'losses': '8', 'ties': 0, 'percentage': '.467'}","{'type': 'loss', 'value': '2'}",1507.28,1510.56,7,8,0,.467,11,0,414.l.1399238
414.l.1399238.t.4,Erik Justesen's Boss Team,9,,"{'wins': '3', 'losses': '12', 'ties': 0, 'percentage': '.200'}","{'type': 'loss', 'value': '2'}",1370.10,1657.0600000000002,3,12,0,.200,5,0,414.l.1399238
414.l.1399238.t.5,Josimar's Splendid Team,10,,"{'wins': '3', 'losses': '12', 'ties': 0, 'percentage': '.200'}","{'type': 'loss', 'value': '2'}",1276.08,1578.2599999999998,3,12,0,.200,0,0,414.l.1399238
414.l.438249.t.1,Go Luck Yourself,,,"{'wins': 0, 'losses': 0, 'ties': 0, 'percentage': ''}",,0,0.0,0,0,0,,0,0,414.l.438249
414.l.438249.t.2,Danny Football,,,"{'wins': 0, 'losses': 0, 'ties': 0, 'percentage': ''}",,0,0.0,0,0,0,,0,0,414.l.438249
414.l.438249.t.3,Definitely Jess,,,"{'wins': 0, 'losses': 0, 'ties': 0, 'percentage': ''}",,0,0.0,0,0,0,,0,0,414.l.438249
414.l.438249.t.4,Edward Forte Hands,,,"{'wins': 0, 'losses': 0, 'ties': 0, 'percentage': ''}",,0,0.0,0,0,0,,0,0,414.l.438249
414.l.438249.t.6,Los Gatos de Trueno,,,"{'wins': 0, 'losses': 0, 'ties': 0, 'percentage': ''}",,0,0.0,0,0,0,,0,0,414.l.438249
414.l.438249.t.7,Rollin With Mahomes,,,"{'wins': 0, 'losses': 0, 'ties': 0, 'percentage': ''}",,0,0.0,0,0,0,,0,0,414.l.438249
414.l.438249.t.8,MNah-MNah,,,"{'wins': 0, 'losses': 0, 'ties': 0, 'percentage': ''}",,0,0.0,0,0,0,,0,0,414.l.438249
414.l.438249.t.9,Rachelle's Team,,,"{'wins': 0, 'losses': 0, 'ties': 0, 'percentage': ''}",,0,0.0,0,0,0,,0,0,414.l.438249
414.l.438249.t.10,Tripping Billies,,,"{'wins': 0, 'losses': 0, 'ties': 0, 'percentage': ''}",,0,0.0,0,0,0,,0,0,414.l.438249
414.l.709240.t.1,Unsolicited Dak pix,1,3,"{'wins': '9', 'losses': '5', 'ties': 0, 'percentage': '.643'}","{'type': 'win', 'value': '1'}",2341.75,2119.5,9,5,0,.643,7,2,414.l.709240
414.l.709240.t.9,Book of Moremoms,2,4,"{'wins': '8', 'losses': '6', 'ties': 0, 'percentage': '.571'}","{'type': 'win', 'value': '3'}",2378.20,2147.6299999999997,8,6,0,.571,15,0,414.l.709240
414.l.709240.t.10,Fresh Princ(ess) of Helaire,3,2,"{'wins': '11', 'losses': '3', 'ties': 0, 'percentage': '.786'}","{'type': 'loss', 'value': '1'}",2298.28,2015.5899999999997,11,3,0,.786,10,2,414.l.709240
414.l.709240.t.7,2ManyUrklesOnYourTeam,4,1,"{'wins': '11', 'losses': '3', 'ties': 0, 'percentage': '.786'}","{'type': 'win', 'value': '3'}",2413.74,2098.6600000000003,11,3,0,.786,18,2,414.l.709240
414.l.709240.t.6,Herbie and the Homeboy,5,6,"{'wins': '6', 'losses': '8', 'ties': 0, 'percentage': '.429'}","{'type': 'loss', 'value': '2'}",2171.05,2256.5100000000007,6,8,0,.429,9,1,414.l.709240
414.l.709240.t.3,Hurts is hurt,6,5,"{'wins': '8', 'losses': '6', 'ties': 0, 'percentage': '.571'}","{'type': 'loss', 'value': '1'}",2260.12,2193.3,8,6,0,.571,11,3,414.l.709240
414.l.709240.t.2,FonziFonarelli,7,9,"{'wins': '4', 'losses': '10', 'ties': 0, 'percentage': '.286'}","{'type': 'loss', 'value': '3'}",1918.29,2158.94,4,10,0,.286,21,1,414.l.709240
414.l.709240.t.5,DangerBust Wilson,8,10,"{'wins': '3', 'losses': '11', 'ties': 0, 'percentage': '.214'}","{'type': 'win', 'value': '2'}",1997.32,2274.0299999999997,3,11,0,.214,0,2,414.l.709240
414.l.709240.t.8,QB Hospice,9,7,"{'wins': '6', 'losses': '8', 'ties': 0, 'percentage': '.429'}","{'type': 'win', 'value': '1'}",2074.86,2195.31,6,8,0,.429,16,0,414.l.709240
414.l.709240.t.4,Slaw Bunnies,10,8,"{'wins': '4', 'losses': '10', 'ties': 0, 'percentage': '.286'}","{'type': 'loss', 'value': '4'}",2064.00,2458.14,4,10,0,.286,11,1,414.l.709240
