,position,manager_id,opponent_id,matchup_url,player,player_url,score,manager,league_url
0,QB,1,2,https://football.fantasysports.yahoo.com//2012/f1/324073/matchup?week=1&mid1=1&mid2=2,T. Brady ,https://sports.yahoo.com/nfl/players/5228,17.54,TheSandusky9(YrOlds),https://football.fantasysports.yahoo.com/2012/f1/324073
1,WR,1,2,https://football.fantasysports.yahoo.com//2012/f1/324073/matchup?week=1&mid1=1&mid2=2,J. Jones ,https://sports.yahoo.com/nfl/players/24793,22.80,TheSandusky9(YrOlds),https://football.fantasysports.yahoo.com/2012/f1/324073
2,WR,1,2,https://football.fantasysports.yahoo.com//2012/f1/324073/matchup?week=1&mid1=1&mid2=2,A. Brown ,https://sports.yahoo.com/nfl/players/24171,7.80,TheSandusky9(YrOlds),https://football.fantasysports.yahoo.com/2012/f1/324073
3,WR,1,2,https://football.fantasysports.yahoo.com//2012/f1/324073/matchup?week=1&mid1=1&mid2=2,A. Boldin ,https://sports.yahoo.com/nfl/players/6390,12.60,TheSandusky9(YrOlds),https://football.fantasysports.yahoo.com/2012/f1/324073
4,RB,1,2,https://football.fantasysports.yahoo.com//2012/f1/324073/matchup?week=1&mid1=1&mid2=2,J. Rodgers ,https://sports.yahoo.com/nfl/players/24932,3.50,TheSandusky9(YrOlds),https://football.fantasysports.yahoo.com/2012/f1/324073
5,RB,1,2,https://football.fantasysports.yahoo.com//2012/f1/324073/matchup?week=1&mid1=1&mid2=2,A. Peterson ,https://sports.yahoo.com/nfl/players/8261,20.70,TheSandusky9(YrOlds),https://football.fantasysports.yahoo.com/2012/f1/324073
6,TE,1,2,https://football.fantasysports.yahoo.com//2012/f1/324073/matchup?week=1&mid1=1&mid2=2,A. Gates ,https://sports.yahoo.com/nfl/players/6663,4.30,TheSandusky9(YrOlds),https://football.fantasysports.yahoo.com/2012/f1/324073
7,K,1,2,https://football.fantasysports.yahoo.com//2012/f1/324073/matchup?week=1&mid1=1&mid2=2,S. Gostkowski ,https://sports.yahoo.com/nfl/players/7867,10.00,TheSandusky9(YrOlds),https://football.fantasysports.yahoo.com/2012/f1/324073
8,DEF,1,2,https://football.fantasysports.yahoo.com//2012/f1/324073/matchup?week=1&mid1=1&mid2=2,Atlanta  - DEF ,https://sports.yahoo.com/nfl/teams/atlanta/,9.00,TheSandusky9(YrOlds),https://football.fantasysports.yahoo.com/2012/f1/324073
0,QB,1,3,https://football.fantasysports.yahoo.com//2012/f1/324073/matchup?week=2&mid1=1&mid2=3,T. Brady ,https://sports.yahoo.com/nfl/players/5228,14.54,TheSandusky9(YrOlds),https://football.fantasysports.yahoo.com/2012/f1/324073
1,WR,1,3,https://football.fantasysports.yahoo.com//2012/f1/324073/matchup?week=2&mid1=1&mid2=3,J. Jones ,https://sports.yahoo.com/nfl/players/24793,1.50,TheSandusky9(YrOlds),https://football.fantasysports.yahoo.com/2012/f1/324073
2,WR,1,3,https://football.fantasysports.yahoo.com//2012/f1/324073/matchup?week=2&mid1=1&mid2=3,A. Boldin ,https://sports.yahoo.com/nfl/players/6390,0.70,TheSandusky9(YrOlds),https://football.fantasysports.yahoo.com/2012/f1/324073
3,WR,1,3,https://football.fantasysports.yahoo.com//2012/f1/324073/matchup?week=2&mid1=1&mid2=3,K. Britt ,https://sports.yahoo.com/nfl/players/9294,0.50,TheSandusky9(YrOlds),https://football.fantasysports.yahoo.com/2012/f1/324073
4,RB,1,3,https://football.fantasysports.yahoo.com//2012/f1/324073/matchup?week=2&mid1=1&mid2=3,A. Peterson ,https://sports.yahoo.com/nfl/players/8261,8.00,TheSandusky9(YrOlds),https://football.fantasysports.yahoo.com/2012/f1/324073
5,RB,1,3,https://football.fantasysports.yahoo.com//2012/f1/324073/matchup?week=2&mid1=1&mid2=3,J. Rodgers ,https://sports.yahoo.com/nfl/players/24932,0.30,TheSandusky9(YrOlds),https://football.fantasysports.yahoo.com/2012/f1/324073
6,TE,1,3,https://football.fantasysports.yahoo.com//2012/f1/324073/matchup?week=2&mid1=1&mid2=3,D. Pitta ,https://sports.yahoo.com/nfl/players/24089,6.50,TheSandusky9(YrOlds),https://football.fantasysports.yahoo.com/2012/f1/324073
7,K,1,3,https://football.fantasysports.yahoo.com//2012/f1/324073/matchup?week=2&mid1=1&mid2=3,S. Gostkowski ,https://sports.yahoo.com/nfl/players/7867,17.00,TheSandusky9(YrOlds),https://football.fantasysports.yahoo.com/2012/f1/324073
8,DEF,1,3,https://football.fantasysports.yahoo.com//2012/f1/324073/matchup?week=2&mid1=1&mid2=3,Atlanta  - DEF ,https://sports.yahoo.com/nfl/teams/atlanta/,11.00,TheSandusky9(YrOlds),https://football.fantasysports.yahoo.com/2012/f1/324073
0,QB,1,4,https://football.fantasysports.yahoo.com//2012/f1/324073/matchup?week=3&mid1=1&mid2=4,T. Brady ,https://sports.yahoo.com/nfl/players/5228,18.10,TheSandusky9(YrOlds),https://football.fantasysports.yahoo.com/2012/f1/324073
