,position,manager_id,opponent_id,matchup_url,player,player_url,score,manager,league_url
0,QB,1,2,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=1&mid1=1&mid2=2,J. Cutler ,https://sports.yahoo.com/nfl/players/7760,17.96,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
1,WR,1,2,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=1&mid1=1&mid2=2,J. Nelson ,https://sports.yahoo.com/nfl/players/8813,8.30,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
2,WR,1,2,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=1&mid1=1&mid2=2,P. Harvin ,https://sports.yahoo.com/nfl/players/9286,10.00,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
3,WR,1,2,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=1&mid1=1&mid2=2,A. Boldin ,https://sports.yahoo.com/nfl/players/6390,9.90,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
4,RB,1,2,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=1&mid1=1&mid2=2,L. McCoy ,https://sports.yahoo.com/nfl/players/9317,11.50,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
5,RB,1,2,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=1&mid1=1&mid2=2,R. Bush ,https://sports.yahoo.com/nfl/players/7751,6.40,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
6,TE,1,2,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=1&mid1=1&mid2=2,J. Witten ,https://sports.yahoo.com/nfl/players/6405,1.40,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
7,K,1,2,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=1&mid1=1&mid2=2,S. Janikowski ,https://sports.yahoo.com/nfl/players/5046,2.00,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
8,DEF,1,2,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=1&mid1=1&mid2=2,New England  - DEF ,https://sports.yahoo.com/nfl/teams/new-england/,6.00,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
0,QB,1,3,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=2&mid1=1&mid2=3,J. Cutler ,https://sports.yahoo.com/nfl/players/7760,25.54,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
1,WR,1,3,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=2&mid1=1&mid2=3,J. Nelson ,https://sports.yahoo.com/nfl/players/8813,26.90,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
2,WR,1,3,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=2&mid1=1&mid2=3,P. Harvin ,https://sports.yahoo.com/nfl/players/9286,9.00,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
3,WR,1,3,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=2&mid1=1&mid2=3,M. Wallace ,https://sports.yahoo.com/nfl/players/9348,11.60,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
4,RB,1,3,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=2&mid1=1&mid2=3,L. McCoy ,https://sports.yahoo.com/nfl/players/9317,16.20,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
5,RB,1,3,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=2&mid1=1&mid2=3,R. Bush ,https://sports.yahoo.com/nfl/players/7751,3.20,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
6,TE,1,3,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=2&mid1=1&mid2=3,J. Witten ,https://sports.yahoo.com/nfl/players/6405,3.20,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
7,K,1,3,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=2&mid1=1&mid2=3,S. Janikowski ,https://sports.yahoo.com/nfl/players/5046,2.00,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
8,DEF,1,3,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=2&mid1=1&mid2=3,New England  - DEF ,https://sports.yahoo.com/nfl/teams/new-england/,26.00,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
0,QB,1,4,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=3&mid1=1&mid2=4,A. Dalton ,https://sports.yahoo.com/nfl/players/24822,12.86,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
1,WR,1,4,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=3&mid1=1&mid2=4,J. Nelson ,https://sports.yahoo.com/nfl/players/8813,5.90,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
2,WR,1,4,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=3&mid1=1&mid2=4,P. Harvin ,https://sports.yahoo.com/nfl/players/9286,4.20,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
3,WR,1,4,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=3&mid1=1&mid2=4,M. Wallace ,https://sports.yahoo.com/nfl/players/9348,8.60,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
4,RB,1,4,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=3&mid1=1&mid2=4,L. McCoy ,https://sports.yahoo.com/nfl/players/9317,2.20,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
5,RB,1,4,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=3&mid1=1&mid2=4,R. Bush ,https://sports.yahoo.com/nfl/players/7751,15.90,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
6,TE,1,4,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=3&mid1=1&mid2=4,J. Witten ,https://sports.yahoo.com/nfl/players/6405,4.90,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
7,K,1,4,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=3&mid1=1&mid2=4,M. Nugent ,https://sports.yahoo.com/nfl/players/7223,7.00,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
8,DEF,1,4,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=3&mid1=1&mid2=4,New England  - DEF ,https://sports.yahoo.com/nfl/teams/new-england/,6.00,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
0,QB,1,5,https://football.fantasysports.yahoo.com//2014/f1/329823/matchup?week=4&mid1=1&mid2=5,J. Cutler ,https://sports.yahoo.com/nfl/players/7760,17.14,It Hurts When Eifert,https://football.fantasysports.yahoo.com/2014/f1/329823
