player_name,player_url,position,faab_spend,failed_bids,awardee,awardee_url,award_timestamp,has_failed_bidders,faab_dollars,sort
Darrel Williams,https://sports.yahoo.com/nfl/players/31500,RB,$1 Winning Offer,"[['Hot Freshman RBs', 'https://football.fantasysports.yahoo.com/2021/f1/696126/3', '$1 (Lower waiver priority)'], ['Hunt Fournette October', 'https://football.fantasysports.yahoo.com/2021/f1/696126/10', '$0 (Lower Offer)']]",2 Packers 1 Kupp,https://football.fantasysports.yahoo.com/2021/f1/696126/8,"Dec 29, 3:10 am",1,1,"Darrel Williams2 Packers 1 KuppDec 29, 3:10 am1"
Devin Singletary,https://sports.yahoo.com/nfl/players/31906,RB,$1 Winning Offer,"[['2 Packers 1 Kupp', 'https://football.fantasysports.yahoo.com/2021/f1/696126/8', '$1 (Invalid claim due to previous transaction)'], ['Hunt Fournette October', 'https://football.fantasysports.yahoo.com/2021/f1/696126/10', '$0 (Lower Offer)']]",Hot Freshman RBs,https://football.fantasysports.yahoo.com/2021/f1/696126/3,"Dec 29, 3:10 am",1,1,"Devin SingletaryHot Freshman RBsDec 29, 3:10 am1"
Damien Harris,https://sports.yahoo.com/nfl/players/31919,RB,$19 Winning Offer,"[['Hot Freshman RBs', 'https://football.fantasysports.yahoo.com/2021/f1/696126/3', '$0 (Lower Offer)']]",Shooting For 1st,https://football.fantasysports.yahoo.com/2021/f1/696126/5,"Dec 25, 3:09 am",1,19,"Damien HarrisShooting For 1stDec 25, 3:09 am19"
Antonio Brown,https://sports.yahoo.com/nfl/players/24171,WR,$19 Winning Offer,"[['Slaw Bunnies', 'https://football.fantasysports.yahoo.com/2021/f1/696126/4', '$15 (Lower Offer)'], ['Hot Freshman RBs', 'https://football.fantasysports.yahoo.com/2021/f1/696126/3', '$2 (Lower Offer)'], ['2ManyUrklesOnYourTeam', 'https://football.fantasysports.yahoo.com/2021/f1/696126/7', '$0 (Lower Offer)'], ['Hunt Fournette October', 'https://football.fantasysports.yahoo.com/2021/f1/696126/10', '$0 (Lower Offer)'], ['Where Mahomes At?', 'https://football.fantasysports.yahoo.com/2021/f1/696126/9', '$0 (Lower Offer)']]",2 Packers 1 Kupp,https://football.fantasysports.yahoo.com/2021/f1/696126/8,"Dec 23, 3:14 am",1,19,"Antonio Brown2 Packers 1 KuppDec 23, 3:14 am19"
Rashaad Penny,https://sports.yahoo.com/nfl/players/30997,RB,$21 Winning Offer,"[['Shooting For 1st', 'https://football.fantasysports.yahoo.com/2021/f1/696126/5', '$19 (Lower Offer)'], ['Slaw Bunnies', 'https://football.fantasysports.yahoo.com/2021/f1/696126/4', '$15 (Lower Offer)'], ['2ManyUrklesOnYourTeam', 'https://football.fantasysports.yahoo.com/2021/f1/696126/7', '$0 (Lower Offer)'], ['Hunt Fournette October', 'https://football.fantasysports.yahoo.com/2021/f1/696126/10', '$0 (Lower Offer)']]",2 Packers 1 Kupp,https://football.fantasysports.yahoo.com/2021/f1/696126/8,"Dec 15, 3:58 am",1,21,"Rashaad Penny2 Packers 1 KuppDec 15, 3:58 am21"
Michael Gallup,https://sports.yahoo.com/nfl/players/31051,WR,$5 Winning Offer,"[['Najee moma', 'https://football.fantasysports.yahoo.com/2021/f1/696126/6', '$0 (Lower Offer)'], ['Hunt Fournette October', 'https://football.fantasysports.yahoo.com/2021/f1/696126/10', '$0 (Lower Offer)']]",Shooting For 1st,https://football.fantasysports.yahoo.com/2021/f1/696126/5,"Dec 8, 3:11 am",1,5,"Michael GallupShooting For 1stDec 8, 3:11 am5"
Russell Gage,https://sports.yahoo.com/nfl/players/31164,WR,$4 Winning Offer,"[['FonziFonarelli', 'https://football.fantasysports.yahoo.com/2021/f1/696126/2', '$2 (Lower Offer)']]",Hot Freshman RBs,https://football.fantasysports.yahoo.com/2021/f1/696126/3,"Dec 8, 3:11 am",1,4,"Russell GageHot Freshman RBsDec 8, 3:11 am4"
Kansas City,https://sports.yahoo.com/nfl/teams/kansas-city/,DEF,$10 Winning Offer,"[['2 Packers 1 Kupp', 'https://football.fantasysports.yahoo.com/2021/f1/696126/8', '$5 (Lower Offer)'], ['Where Mahomes At?', 'https://football.fantasysports.yahoo.com/2021/f1/696126/9', '$4 (Lower Offer)'], ['Shooting For 1st', 'https://football.fantasysports.yahoo.com/2021/f1/696126/5', '$2 (Lower Offer)'], ['Hot Freshman RBs', 'https://football.fantasysports.yahoo.com/2021/f1/696126/3', '$0 (Lower Offer)']]",Hot Freshman RBs,https://football.fantasysports.yahoo.com/2021/f1/696126/3,"Dec 1, 4:17 am",1,10,"Kansas CityHot Freshman RBsDec 1, 4:17 am10"
Chuba Hubbard,https://sports.yahoo.com/nfl/players/33514,RB,$33 Winning Offer,"[['FonziFonarelli', 'https://football.fantasysports.yahoo.com/2021/f1/696126/2', '$26 (Lower Offer)']]",Hot Freshman RBs,https://football.fantasysports.yahoo.com/2021/f1/696126/3,"Dec 1, 4:17 am",1,33,"Chuba HubbardHot Freshman RBsDec 1, 4:17 am33"
Jamaal Williams,https://sports.yahoo.com/nfl/players/30247,RB,$32 Winning Offer,"[['Shooting For 1st', 'https://football.fantasysports.yahoo.com/2021/f1/696126/5', '$12 (Lower Offer)']]",2ManyUrklesOnYourTeam,https://football.fantasysports.yahoo.com/2021/f1/696126/7,"Dec 1, 4:17 am",1,32,"Jamaal Williams2ManyUrklesOnYourTeamDec 1, 4:17 am32"
