,player_name,position,player_url,position_rank
0,Tom Brady,QB,https://sports.yahoo.com/nfl/players/5228,1
1,Tony Romo,QB,https://sports.yahoo.com/nfl/players/6624,11
2,Peyton Manning,QB,https://sports.yahoo.com/nfl/players/4256,20
3,Ben Roethlisberger,QB,https://sports.yahoo.com/nfl/players/6770,21
4,Drew Brees,QB,https://sports.yahoo.com/nfl/players/5479,32
5,Derek Anderson,QB,https://sports.yahoo.com/nfl/players/7389,33
6,Brett Favre,QB,https://sports.yahoo.com/nfl/players/1025,43
7,Kurt Warner,QB,https://sports.yahoo.com/,46
8,Matt Hasselbeck,QB,https://sports.yahoo.com/nfl/players/4416,50
9,Carson Palmer,QB,https://sports.yahoo.com/nfl/players/6337,55
10,David Garrard,QB,https://sports.yahoo.com/nfl/players/5994,59
11,Donovan McNabb,QB,https://sports.yahoo.com/nfl/players/4650,67
12,Brian Griese,QB,https://sports.yahoo.com/,87
13,Jay Cutler,QB,https://sports.yahoo.com/nfl/players/7760,91
14,Sage Rosenfels,QB,https://sports.yahoo.com/nfl/players/5557,94
15,Chris Redman,QB,https://sports.yahoo.com/nfl/players/5104,113
16,Todd Collins,QB,https://sports.yahoo.com/nfl/players/3116,120
17,Jon Kitna,QB,https://sports.yahoo.com/nfl/players/4157,124
18,Eli Manning,QB,https://sports.yahoo.com/nfl/players/6760,128
19,Luke McCown,QB,https://sports.yahoo.com/nfl/players/6865,132
20,Cleo Lemon,QB,https://sports.yahoo.com/,142
21,Chad Pennington,QB,https://sports.yahoo.com/nfl/players/5047,150
22,Jeff Garcia,QB,https://sports.yahoo.com/nfl/players/4924,156
23,Philip Rivers,QB,https://sports.yahoo.com/nfl/players/6763,157
24,Daunte Culpepper,QB,https://sports.yahoo.com/,167
0,Jason Campbell,QB,https://sports.yahoo.com/nfl/players/7201,182
1,Tarvaris Jackson,QB,https://sports.yahoo.com/nfl/players/7813,188
2,Vince Young,QB,https://sports.yahoo.com/nfl/players/7752,206
3,Trent Green,QB,https://sports.yahoo.com/,225
4,Damon Huard,QB,https://sports.yahoo.com/,251
5,Matt Schaub,QB,https://sports.yahoo.com/nfl/players/6849,1440
6,Marc Bulger,QB,https://sports.yahoo.com/nfl/players/5197,1451
7,Quinn Gray,QB,https://sports.yahoo.com/,1468
8,Joey Harrington,QB,https://sports.yahoo.com/,1587
9,Josh McCown,QB,https://sports.yahoo.com/nfl/players/5967,1594
10,Trent Edwards,QB,https://sports.yahoo.com/nfl/players/8346,1611
11,Trent Dilfer,QB,https://sports.yahoo.com/,1612
12,Kellen Clemens,QB,https://sports.yahoo.com/nfl/players/7798,1879
13,J.P. Losman,QB,https://sports.yahoo.com/nfl/players/6781,1899
14,Troy Smith,QB,https://sports.yahoo.com/nfl/players/8428,1905
15,Kyle Boller,QB,https://sports.yahoo.com/nfl/players/6355,1906
16,Rex Grossman,QB,https://sports.yahoo.com/nfl/players/6358,1927
17,Vinny Testaverde,QB,https://sports.yahoo.com/,1928
18,Isaiah Stanback,QB,https://sports.yahoo.com/nfl/players/8357,1948
19,Gus Frerotte,QB,https://sports.yahoo.com/,1954
20,Brodie Croyle,QB,https://sports.yahoo.com/nfl/players/7834,1977
21,Matt Leinart,QB,https://sports.yahoo.com/nfl/players/7759,1990
22,Steve McNair,QB,https://sports.yahoo.com/,2014
23,David Carr,QB,https://sports.yahoo.com/nfl/players/5887,2015
24,Gibran Hamdan,QB,https://sports.yahoo.com/,2027
0,Lang Campbell,QB,https://sports.yahoo.com/,2028
1,Jason Fife,QB,https://sports.yahoo.com/,2029
2,Jared Lorenzen,QB,https://sports.yahoo.com/,2030
3,Josh Booty,QB,https://sports.yahoo.com/,2031
4,David Greene,QB,https://sports.yahoo.com/,2032
5,Jake Delhomme,QB,https://sports.yahoo.com/nfl/players/4555,2033
6,Bradlee Van Pelt,QB,https://sports.yahoo.com/,2034
7,Kelly Holcomb,QB,https://sports.yahoo.com/,2035
8,Craig Nall,QB,https://sports.yahoo.com/,2036
9,Tim Hasselbeck,QB,https://sports.yahoo.com/,2037
10,Brett Basanez,QB,https://sports.yahoo.com/nfl/players/8066,2038
11,A.J. Feeley,QB,https://sports.yahoo.com/nfl/players/5603,2039
12,Chris Weinke,QB,https://sports.yahoo.com/,2040
13,Charlie Whitehurst,QB,https://sports.yahoo.com/nfl/players/7830,2041
14,Brett Elliott,QB,https://sports.yahoo.com/,2042
15,Tyler Palko,QB,https://sports.yahoo.com/nfl/players/8639,2043
16,Jordan Palmer,QB,https://sports.yahoo.com/nfl/players/8459,2044
17,Chris Simms,QB,https://sports.yahoo.com/nfl/players/6433,2045
18,Aaron Rodgers,QB,https://sports.yahoo.com/nfl/players/7200,2046
19,Quinton Porter,QB,https://sports.yahoo.com/,2047
20,Andrew Walter,QB,https://sports.yahoo.com/,2048
21,Brady Quinn,QB,https://sports.yahoo.com/nfl/players/8276,2049
22,Doug Johnson,QB,https://sports.yahoo.com/,2050
23,Patrick Ramsey,QB,https://sports.yahoo.com/nfl/players/5918,2051
24,Ken Dorsey,QB,https://sports.yahoo.com/,2052
0,Brian St. Pierre,QB,https://sports.yahoo.com/nfl/players/6499,2053
1,Tim Couch,QB,https://sports.yahoo.com/,2054
2,Matt Baker,QB,https://sports.yahoo.com/,2055
3,James Kilian,QB,https://sports.yahoo.com/,2056
4,Brock Berlin,QB,https://sports.yahoo.com/,2057
5,Anthony Wright,QB,https://sports.yahoo.com/,2058
6,Mark Brunell,QB,https://sports.yahoo.com/nfl/players/2485,2059
7,Drew Olson,QB,https://sports.yahoo.com/,2060
8,Kevin Kolb,QB,https://sports.yahoo.com/nfl/players/8290,2061
9,Jake Plummer,QB,https://sports.yahoo.com/,2062
10,Drew Stanton,QB,https://sports.yahoo.com/nfl/players/8297,2063
11,Josh Betts,QB,https://sports.yahoo.com/,2064
12,Darrell Hackney,QB,https://sports.yahoo.com/,2065
13,D.J. Shockley,QB,https://sports.yahoo.com/nfl/players/7972,2066
14,Todd Bouman,QB,https://sports.yahoo.com/nfl/players/4231,2067
15,Byron Leftwich,QB,https://sports.yahoo.com/nfl/players/6343,2068
16,Ryan Fitzpatrick,QB,https://sports.yahoo.com/nfl/players/7426,2069
17,Preston Parsons,QB,https://sports.yahoo.com/,2070
18,Jamie Martin,QB,https://sports.yahoo.com/,2071
19,Jeff Rowe,QB,https://sports.yahoo.com/nfl/players/8405,2072
20,Marques Tuiasosopo,QB,https://sports.yahoo.com/,2073
21,John Navarre,QB,https://sports.yahoo.com/,2074
22,Bryan Randall,QB,https://sports.yahoo.com/,2075
23,Omar Jacobs,QB,https://sports.yahoo.com/,2076
24,Cody Pickett,QB,https://sports.yahoo.com/,2077
0,Casey Bramlet,QB,https://sports.yahoo.com/,2078
1,Kyle Orton,QB,https://sports.yahoo.com/nfl/players/7282,2079
2,Drew Henson,QB,https://sports.yahoo.com/,2080
