,position,manager_id,opponent_id,matchup_url,player,player_url,score,manager,league_url
0,QB,1,2,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=1&mid1=1&mid2=2,C. Newton ,https://sports.yahoo.com/nfl/players/24788,29.13,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
1,WR,1,2,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=1&mid1=1&mid2=2,T. Hill ,https://sports.yahoo.com/nfl/players/29399,14.25,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
2,WR,1,2,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=1&mid1=1&mid2=2,M. Gallup ,https://sports.yahoo.com/nfl/players/31051,7.75,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
3,WR,1,2,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=1&mid1=1&mid2=2,T. Lockett ,https://sports.yahoo.com/nfl/players/28457,15.50,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
4,RB,1,2,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=1&mid1=1&mid2=2,A. Ekeler ,https://sports.yahoo.com/nfl/players/30423,11.38,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
5,RB,1,2,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=1&mid1=1&mid2=2,T. Gurley II ,https://sports.yahoo.com/nfl/players/28398,14.13,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
6,TE,1,2,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=1&mid1=1&mid2=2,H. Hurst ,https://sports.yahoo.com/nfl/players/30995,6.25,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
7,Q/WR/T,1,2,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=1&mid1=1&mid2=2,A. Rodgers ,https://sports.yahoo.com/nfl/players/7200,34.45,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
8,DEF,1,2,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=1&mid1=1&mid2=2,Baltimore  - DEF ,https://sports.yahoo.com/nfl/teams/baltimore/,22.50,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
9,DEF,1,2,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=1&mid1=1&mid2=2,Los Angeles  - DEF ,https://sports.yahoo.com/nfl/teams/la-rams/,10.00,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
0,QB,1,3,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=2&mid1=1&mid2=3,C. Newton ,https://sports.yahoo.com/nfl/players/24788,39.73,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
1,WR,1,3,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=2&mid1=1&mid2=3,T. Hill ,https://sports.yahoo.com/nfl/players/29399,22.00,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
2,WR,1,3,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=2&mid1=1&mid2=3,T. Lockett ,https://sports.yahoo.com/nfl/players/28457,17.88,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
3,WR,1,3,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=2&mid1=1&mid2=3,M. Gallup ,https://sports.yahoo.com/nfl/players/31051,8.25,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
4,RB,1,3,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=2&mid1=1&mid2=3,A. Ekeler ,https://sports.yahoo.com/nfl/players/30423,20.50,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
5,RB,1,3,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=2&mid1=1&mid2=3,T. Gurley II ,https://sports.yahoo.com/nfl/players/28398,7.63,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
6,TE,1,3,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=2&mid1=1&mid2=3,H. Hurst ,https://sports.yahoo.com/nfl/players/30995,17.50,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
7,Q/WR/T,1,3,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=2&mid1=1&mid2=3,A. Rodgers ,https://sports.yahoo.com/nfl/players/7200,21.25,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
8,DEF,1,3,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=2&mid1=1&mid2=3,Baltimore  - DEF ,https://sports.yahoo.com/nfl/teams/baltimore/,19.50,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
9,DEF,1,3,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=2&mid1=1&mid2=3,Los Angeles  - DEF ,https://sports.yahoo.com/nfl/teams/la-rams/,9.50,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
0,QB,1,4,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=3&mid1=1&mid2=4,C. Newton ,https://sports.yahoo.com/nfl/players/24788,13.48,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
1,WR,1,4,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=3&mid1=1&mid2=4,T. Hill ,https://sports.yahoo.com/nfl/players/29399,21.25,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
2,WR,1,4,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=3&mid1=1&mid2=4,T. Lockett ,https://sports.yahoo.com/nfl/players/28457,35.00,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
3,WR,1,4,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=3&mid1=1&mid2=4,C. Kupp ,https://sports.yahoo.com/nfl/players/30182,23.88,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
4,RB,1,4,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=3&mid1=1&mid2=4,A. Ekeler ,https://sports.yahoo.com/nfl/players/30423,29.38,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
5,RB,1,4,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=3&mid1=1&mid2=4,L. Fournette ,https://sports.yahoo.com/nfl/players/30117,3.75,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
6,TE,1,4,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=3&mid1=1&mid2=4,H. Hurst ,https://sports.yahoo.com/nfl/players/30995,6.63,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
7,Q/WR/T,1,4,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=3&mid1=1&mid2=4,A. Rodgers ,https://sports.yahoo.com/nfl/players/7200,27.65,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
8,DEF,1,4,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=3&mid1=1&mid2=4,Baltimore  - DEF ,https://sports.yahoo.com/nfl/teams/baltimore/,6.50,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
9,DEF,1,4,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=3&mid1=1&mid2=4,Los Angeles  - DEF ,https://sports.yahoo.com/nfl/teams/la-rams/,7.00,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
0,QB,1,5,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=4&mid1=1&mid2=5,N. Mullens ,https://sports.yahoo.com/nfl/players/30563,8.00,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
1,WR,1,5,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=4&mid1=1&mid2=5,T. Lockett ,https://sports.yahoo.com/nfl/players/28457,5.88,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
2,WR,1,5,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=4&mid1=1&mid2=5,C. Kupp ,https://sports.yahoo.com/nfl/players/30182,16.88,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
3,WR,1,5,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=4&mid1=1&mid2=5,T. Hill ,https://sports.yahoo.com/nfl/players/29399,16.00,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
4,RB,1,5,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=4&mid1=1&mid2=5,A. Ekeler ,https://sports.yahoo.com/nfl/players/30423,2.25,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
5,RB,1,5,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=4&mid1=1&mid2=5,M. Gordon ,https://sports.yahoo.com/nfl/players/28403,27.75,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
6,TE,1,5,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=4&mid1=1&mid2=5,H. Hurst ,https://sports.yahoo.com/nfl/players/30995,8.38,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
7,Q/WR/T,1,5,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=4&mid1=1&mid2=5,A. Rodgers ,https://sports.yahoo.com/nfl/players/7200,32.98,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
8,DEF,1,5,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=4&mid1=1&mid2=5,Baltimore  - DEF ,https://sports.yahoo.com/nfl/teams/baltimore/,12.00,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
9,DEF,1,5,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=4&mid1=1&mid2=5,Los Angeles  - DEF ,https://sports.yahoo.com/nfl/teams/la-rams/,18.00,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
0,QB,1,6,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=5&mid1=1&mid2=6,J. Flacco ,https://sports.yahoo.com/nfl/players/8795,16.25,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
1,WR,1,6,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=5&mid1=1&mid2=6,T. Lockett ,https://sports.yahoo.com/nfl/players/28457,7.50,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
2,WR,1,6,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=5&mid1=1&mid2=6,C. Kupp ,https://sports.yahoo.com/nfl/players/30182,10.75,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
3,WR,1,6,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=5&mid1=1&mid2=6,T. Hill ,https://sports.yahoo.com/nfl/players/29399,19.13,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
4,RB,1,6,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=5&mid1=1&mid2=6,T. Gurley II ,https://sports.yahoo.com/nfl/players/28398,26.75,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
5,RB,1,6,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=5&mid1=1&mid2=6,L. Bell ,https://sports.yahoo.com/nfl/players/26671,8.88,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
6,TE,1,6,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=5&mid1=1&mid2=6,H. Hurst ,https://sports.yahoo.com/nfl/players/30995,2.00,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
7,Q/WR/T,1,6,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=5&mid1=1&mid2=6,M. Gallup ,https://sports.yahoo.com/nfl/players/31051,11.13,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
8,DEF,1,6,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=5&mid1=1&mid2=6,Baltimore  - DEF ,https://sports.yahoo.com/nfl/teams/baltimore/,34.00,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
9,DEF,1,6,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=5&mid1=1&mid2=6,Los Angeles  - DEF ,https://sports.yahoo.com/nfl/teams/la-rams/,22.50,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
0,QB,1,7,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=6&mid1=1&mid2=7,A. Rodgers ,https://sports.yahoo.com/nfl/players/7200,5.75,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
1,WR,1,7,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=6&mid1=1&mid2=7,C. Kupp ,https://sports.yahoo.com/nfl/players/30182,2.88,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
2,WR,1,7,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=6&mid1=1&mid2=7,T. Hill ,https://sports.yahoo.com/nfl/players/29399,4.63,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
3,WR,1,7,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=6&mid1=1&mid2=7,M. Gallup ,https://sports.yahoo.com/nfl/players/31051,3.88,2018 Pro Bowlers,https://football.fantasysports.yahoo.com/2020/f1/523631
