,player_name,position,player_url,score
7,Tim DeMorat,QB,https://sports.yahoo.com/nfl/players/40417,0.0
8,Max Duggan,QB,https://sports.yahoo.com/nfl/players/40272,0.0
9,E.J. Perry,QB,https://sports.yahoo.com/nfl/players/34346,0.0
10,Holton Ahlers,QB,https://sports.yahoo.com/nfl/players/40450,0.0
11,Jake Haener,QB,https://sports.yahoo.com/nfl/players/40144,0.0
12,Anthony Brown Jr.,QB,https://sports.yahoo.com/nfl/players/34389,0.0
13,Chase Garbers,QB,https://sports.yahoo.com/nfl/players/34545,0.0
14,Jarrett Guarantano,QB,https://sports.yahoo.com/nfl/players/34689,0.0
15,Nathan Rourke,QB,https://sports.yahoo.com/nfl/players/40016,0.0
16,Tanner McKee,QB,https://sports.yahoo.com/nfl/players/40220,0.0
17,Stetson Bennett,QB,https://sports.yahoo.com/nfl/players/40153,0.0
18,Dresser Winn,QB,https://sports.yahoo.com/nfl/players/40400,0.0
19,Tom Brady,QB,https://sports.yahoo.com/nfl/players/5228,0.0
20,Matt Corral,QB,https://sports.yahoo.com/nfl/players/34050,0.0
21,Aaron Rodgers,QB,https://sports.yahoo.com/nfl/players/7200,0.0
22,Matt Ryan,QB,https://sports.yahoo.com/nfl/players/8780,0.0
23,Josh Johnson,QB,https://sports.yahoo.com/nfl/players/8937,0.0
24,Colt McCoy,QB,https://sports.yahoo.com/nfl/players/24060,0.0
0,Nick Foles,QB,https://sports.yahoo.com/nfl/players/25798,0.0
1,Garrett Gilbert,QB,https://sports.yahoo.com/nfl/players/27742,0.0
2,Sean Mannion,QB,https://sports.yahoo.com/nfl/players/28477,0.0
3,Nate Sudfeld,QB,https://sports.yahoo.com/nfl/players/29421,0.0
4,Brandon Allen,QB,https://sports.yahoo.com/nfl/players/29435,0.0
5,Danny Etling,QB,https://sports.yahoo.com/nfl/players/31189,0.0
6,Alex McGough,QB,https://sports.yahoo.com/nfl/players/31190,0.0
7,John Wolford,QB,https://sports.yahoo.com/nfl/players/31803,0.0
8,Shane Buechele,QB,https://sports.yahoo.com/nfl/players/33879,0.0
9,Trace McSorley,QB,https://sports.yahoo.com/nfl/players/32029,0.0
10,Will Grier,QB,https://sports.yahoo.com/nfl/players/31932,0.0
11,David Blough,QB,https://sports.yahoo.com/nfl/players/32272,0.0
12,Ben DiNucci,QB,https://sports.yahoo.com/nfl/players/32901,0.0
13,Sam Ehlinger,QB,https://sports.yahoo.com/nfl/players/33606,0.0
14,Ian Book,QB,https://sports.yahoo.com/nfl/players/33521,0.0
15,Kellen Mond,QB,https://sports.yahoo.com/nfl/players/33454,0.0
16,Trey Lance,QB,https://sports.yahoo.com/nfl/players/33391,0.0
17,Reid Sinnett,QB,https://sports.yahoo.com/nfl/players/33279,0.0
18,Jordan Ta'amu,QB,https://sports.yahoo.com/nfl/players/32642,0.0
19,Bryce Perkins,QB,https://sports.yahoo.com/nfl/players/33258,0.0
20,Jake Luton,QB,https://sports.yahoo.com/nfl/players/32859,0.0
21,Jake Fromm,QB,https://sports.yahoo.com/nfl/players/32837,0.0
22,Jacob Eason,QB,https://sports.yahoo.com/nfl/players/32792,0.0
23,Chris Streveler,QB,https://sports.yahoo.com/nfl/players/32662,0.0
24,Austin Aune,QB,https://sports.yahoo.com/nfl/players/40757,0.0
0,Logan Woodside,QB,https://sports.yahoo.com/nfl/players/31219,-0.05
