,position,manager_id,opponent_id,matchup_url,player,player_url,score,league_url,manager_name,opponent_name,new
0,QB,7,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,T. Brady ,https://sports.yahoo.com/nfl/players/5228,17.55,https://football.fantasysports.yahoo.com/2020/f1/523631,Patrick,Scott Gunter,Benjamin
1,WR,7,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,A. Brown ,https://sports.yahoo.com/nfl/players/31883,23.5,https://football.fantasysports.yahoo.com/2020/f1/523631,Patrick,Scott Gunter,Benjamin
2,WR,7,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,A. Robinson II ,https://sports.yahoo.com/nfl/players/27589,25.88,https://football.fantasysports.yahoo.com/2020/f1/523631,Patrick,Scott Gunter,Benjamin
3,WR,7,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,J. Crowder ,https://sports.yahoo.com/nfl/players/28493,1.88,https://football.fantasysports.yahoo.com/2020/f1/523631,Patrick,Scott Gunter,Benjamin
4,RB,7,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,D. Henry ,https://sports.yahoo.com/nfl/players/29279,40.75,https://football.fantasysports.yahoo.com/2020/f1/523631,Patrick,Scott Gunter,Benjamin
5,RB,7,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,A. Jones ,https://sports.yahoo.com/nfl/players/30295,10.38,https://football.fantasysports.yahoo.com/2020/f1/523631,Patrick,Scott Gunter,Benjamin
6,TE,7,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,E. Engram ,https://sports.yahoo.com/nfl/players/30136,3.25,https://football.fantasysports.yahoo.com/2020/f1/523631,Patrick,Scott Gunter,Benjamin
7,Q/WR/T,7,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,R. Tannehill ,https://sports.yahoo.com/nfl/players/25718,18.6,https://football.fantasysports.yahoo.com/2020/f1/523631,Patrick,Scott Gunter,Benjamin
8,DEF,7,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,14.5,https://football.fantasysports.yahoo.com/2020/f1/523631,Patrick,Scott Gunter,Benjamin
9,DEF,7,1,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,Carolina  - DEF ,https://sports.yahoo.com/nfl/teams/carolina/,3.5,https://football.fantasysports.yahoo.com/2020/f1/523631,Patrick,Scott Gunter,Benjamin
10,QB,1,7,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,A. Rodgers ,https://sports.yahoo.com/nfl/players/7200,34.13,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Patrick,Luke
11,WR,1,7,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,T. Hill ,https://sports.yahoo.com/nfl/players/29399,27.38,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Patrick,Luke
12,WR,1,7,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,C. Kupp ,https://sports.yahoo.com/nfl/players/30182,12.63,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Patrick,Luke
13,WR,1,7,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,C. Davis ,https://sports.yahoo.com/nfl/players/30118,3.75,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Patrick,Luke
14,RB,1,7,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,A. Ekeler ,https://sports.yahoo.com/nfl/players/30423,22.75,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Patrick,Luke
15,RB,1,7,https://football.fantasysports.yahoo.com/2020/f1/523631/matchup?mid1=7&mid2=1&week=14,M. Gordon ,https://sports.yahoo.com/nfl/players/28403,12.88,https://football.fantasysports.yahoo.com/2020/f1/523631,Scott Gunter,Patrick,Luke
