,position,manager_id,opponent_id,matchup_url,player,player_url,score,manager,league_url
6,TE,1,4,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=3&mid1=1&mid2=4,R. Gronkowski ,https://sports.yahoo.com/nfl/players/24017,22.90,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
7,K,1,4,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=3&mid1=1&mid2=4,S. Suisham ,https://sports.yahoo.com/nfl/players/7527,13.00,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
8,DEF,1,4,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=3&mid1=1&mid2=4,Atlanta  - DEF ,https://sports.yahoo.com/nfl/teams/atlanta/,5.00,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
0,QB,1,5,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=4&mid1=1&mid2=5,T. Brady ,https://sports.yahoo.com/nfl/players/5228,16.94,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
1,WR,1,5,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=4&mid1=1&mid2=5,M. Wallace ,https://sports.yahoo.com/nfl/players/9348,7.70,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
2,WR,1,5,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=4&mid1=1&mid2=5,R. White ,https://sports.yahoo.com/nfl/players/7203,7.80,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
3,WR,1,5,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=4&mid1=1&mid2=5,S. Holmes ,https://sports.yahoo.com/nfl/players/7774,3.30,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
4,RB,1,5,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=4&mid1=1&mid2=5,R. Mendenhall ,https://sports.yahoo.com/nfl/players/8800,8.50,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
5,RB,1,5,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=4&mid1=1&mid2=5,D. Woodhead ,https://sports.yahoo.com/nfl/players/9560,1.30,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
6,TE,1,5,https://football.fantasysports.yahoo.com//2011/f1/211725/matchup?week=4&mid1=1&mid2=5,R. Gronkowski ,https://sports.yahoo.com/nfl/players/24017,1.50,andiwaslike...Julio!,https://football.fantasysports.yahoo.com/2011/f1/211725
