,player_conc,player_name,position,player_id
118,Anquan BoldinWR,Anquan Boldin,WR,6390
119,Anthony MillerWR,Anthony Miller,WR,31021
120,Antonio BrownWR,Antonio Brown,WR,24171
121,Antonio GatesTE,Antonio Gates,TE,6663
122,Antonio GibsonRB,Antonio Gibson,RB,32736
123,Arian FosterRB,Arian Foster,RB,9527
124,ArizonaDEF,Arizona,DEF,100022
125,AtlantaDEF,Atlanta,DEF,100001
126,Austin EkelerRB,Austin Ekeler,RB,30423
127,Austin HooperTE,Austin Hooper,TE,29315
128,Baker MayfieldQB,Baker Mayfield,QB,30971
129,BaltimoreDEF,Baltimore,DEF,100033
130,Beanie WellsRB,Beanie Wells,RB,9295
131,Ben RoethlisbergerQB,Ben Roethlisberger,QB,6770
132,Ben WatsonTE,Ben Watson,TE,6791
133,BenJarvus Green-EllisRB,BenJarvus Green-Ellis,RB,9039
134,Benny Snell Jr.RB,Benny Snell Jr.,RB,31954
135,Bishop SankeyRB,Bishop Sankey,RB,27582
136,Blair WalshK,Blair Walsh,K,25885
137,Blake BortlesQB,Blake Bortles,QB,27531
138,Boston ScottRB,Boston Scott,RB,31171
139,Branden OliverRB,Branden Oliver,RB,28272
140,Brandin CooksWR,Brandin Cooks,WR,27548
141,Brandon AiyukWR,Brandon Aiyuk,WR,32695
142,Brandon LaFellWR,Brandon LaFell,WR,24053
143,Brandon LloydWR,Brandon Lloyd,WR,6460
144,Brandon MarshallWR,Brandon Marshall,WR,7868
145,Brandon MyersTE,Brandon Myers,TE,9466
146,Breshad PerrimanWR,Breshad Perriman,WR,28414
147,BuffaloDEF,Buffalo,DEF,100002
148,C.J. AndersonRB,C.J. Anderson,RB,26878
149,C.J. SpillerRB,C.J. Spiller,RB,23984
150,Cairo SantosK,Cairo Santos,K,28227
151,Calvin JohnsonWR,Calvin Johnson,WR,8256
152,Calvin RidleyWR,Calvin Ridley,WR,30996
153,Cam AkersRB,Cam Akers,RB,32722
154,Cam NewtonQB,Cam Newton,QB,24788
155,Cameron Artis-PayneRB,Cameron Artis-Payne,RB,28562
156,Cameron BrateTE,Cameron Brate,TE,28267
157,CarolinaDEF,Carolina,DEF,100029
158,Carson PalmerQB,Carson Palmer,QB,6337
159,Carson WentzQB,Carson Wentz,QB,29236
160,Case KeenumQB,Case Keenum,QB,26483
161,Cecil Shorts IIIWR,Cecil Shorts III,WR,24901
162,CeeDee LambWR,CeeDee Lamb,WR,32687
163,Chandler CatanzaroK,Chandler Catanzaro,K,28103
164,Charcandrick WestRB,Charcandrick West,RB,28044
165,Charles JohnsonWR,Charles Johnson,WR,26839
166,Chase ClaypoolWR,Chase Claypool,WR,32719
167,Chase EdmondsRB,Chase Edmonds,RB,31104
168,ChicagoDEF,Chicago,DEF,100003
169,Chris ConleyWR,Chris Conley,WR,28464
170,Chris GodwinWR,Chris Godwin,WR,30197
171,Chris HerndonTE,Chris Herndon,TE,31077
172,Chris IvoryRB,Chris Ivory,RB,24400
173,Chris JohnsonRB,Chris Johnson,RB,8801
174,Christian KirkWR,Christian Kirk,WR,31017
175,Christian McCaffreyRB,Christian McCaffrey,RB,30121
176,Christine MichaelRB,Christine Michael,RB,26685
177,Chuba HubbardRB,Chuba Hubbard,RB,33514
178,CincinnatiDEF,Cincinnati,DEF,100004
179,ClevelandDEF,Cleveland,DEF,100005
180,Clyde Edwards-HelaireRB,Clyde Edwards-Helaire,RB,32702
181,Coby FleenerTE,Coby Fleener,TE,25744
182,Cody ParkeyK,Cody Parkey,K,27911
183,Colin KaepernickQB,Colin Kaepernick,QB,24823
184,Connor BarthK,Connor Barth,K,9219
185,Cooper KuppWR,Cooper Kupp,WR,30182
186,Cordarrelle PattersonRB,Cordarrelle Patterson,RB,26652
,Cordarrelle PattersonWR,Cordarrelle Patterson,WR,26652
187,Corey ColemanWR,Corey Coleman,WR,29249
188,Corey DavisWR,Corey Davis,WR,30118
189,Courtland SuttonWR,Courtland Sutton,WR,31010
190,Curtis SamuelWR,Curtis Samuel,WR,30153
191,DJ CharkWR,D.J. Chark,WR,31031
192,DJ MooreWR,DJ Moore,WR,30994
193,DK MetcalfWR,DK Metcalf,WR,31896
194,Dak PrescottQB,Dak Prescott,QB,29369
195,DallasDEF,Dallas,DEF,100006
196,Dallas GoedertTE,Dallas Goedert,TE,31019
197,Dalvin CookRB,Dalvin Cook,RB,30154
198,Damien HarrisRB,Damien Harris,RB,31919
199,Damien WilliamsRB,Damien Williams,RB,28115
200,Dan BaileyK,Dan Bailey,K,25427
201,Dan CarpenterK,Dan Carpenter,K,9032
202,Danario AlexanderWR,Danario Alexander,WR,24757
203,D'Andre SwiftRB,D'Andre Swift,RB,32705
204,Daniel HerronRB,Daniel Herron,RB,25901
205,Danny AmendolaWR,Danny Amendola,WR,9037
206,Danny WoodheadRB,Danny Woodhead,RB,9560
207,Dante PettisWR,Dante Pettis,WR,31014
208,Darius SlaytonWR,Darius Slayton,WR,32003
210,Darren McFaddenRB,Darren McFadden,RB,8781
211,Darren SprolesRB,Darren Sproles,RB,7306
212,Darwin ThompsonRB,Darwin Thompson,RB,32046
213,Davante AdamsWR,Davante Adams,WR,27581
214,David AkersK,David Akers,K,4587
215,David JohnsonRB,David Johnson,RB,28474
216,David MontgomeryRB,David Montgomery,RB,31905
217,David NjokuTE,David Njoku,TE,30142
218,David WilsonRB,David Wilson,RB,25742
219,DeAndre HopkinsWR,DeAndre Hopkins,WR,26650
220,DeAngelo WilliamsRB,DeAngelo Williams,RB,7776
221,Deebo SamuelWR,Deebo Samuel,WR,31868
222,Delanie WalkerTE,Delanie Walker,TE,7924
223,DeMarco MurrayRB,DeMarco Murray,RB,24858
224,Demaryius ThomasWR,Demaryius Thomas,WR,23997
225,Denard RobinsonRB,Denard Robinson,RB,26758
226,Denarius MooreWR,Denarius Moore,WR,24935
227,Dennis JohnsonRB,Dennis Johnson,RB,27311
228,DenverDEF,Denver,DEF,100007
229,Derek CarrQB,Derek Carr,QB,27564
230,Derrick HenryRB,Derrick Henry,RB,29279
232,DeSean JacksonWR,DeSean Jackson,WR,8826
233,Deshaun WatsonQB,Deshaun Watson,QB,30125
234,DetroitDEF,Detroit,DEF,100008
235,DeVante ParkerWR,DeVante Parker,WR,28402
237,Devin FunchessWR,Devin Funchess,WR,28429
238,Devin SingletaryRB,Devin Singletary,RB,31906
239,Devonta FreemanRB,Devonta Freeman,RB,27631
240,DeVonta SmithWR,Devonta Smith,WR,33398
241,Dez BryantWR,Dez Bryant,WR,23999
242,Diontae JohnsonWR,Diontae Johnson,WR,31898
244,Dorial Green-BeckhamWR,Dorial Green-Beckham,WR,28428
245,Doug BaldwinWR,Doug Baldwin,WR,25105
246,Doug MartinRB,Doug Martin,RB,25741
247,Drew BreesQB,Drew Brees,QB,5479
248,Drew LockQB,Drew Lock,QB,31874
249,Duke JohnsonRB,Duke Johnson,RB,28465
251,Dwayne AllenTE,Dwayne Allen,TE,25774
252,Dwayne BoweWR,Dwayne Bowe,WR,8277
253,Dwayne WashingtonRB,Dwayne Washington,RB,29470
254,Eddie LacyRB,Eddie Lacy,RB,26684
255,Eli ManningQB,Eli Manning,QB,6760
256,Emmanuel SandersWR,Emmanuel Sanders,WR,24057
257,Eric DeckerWR,Eric Decker,WR,24062
258,Eric EbronTE,Eric Ebron,TE,27538
259,Evan EngramTE,Evan Engram,TE,30136
260,Ezekiel ElliottRB,Ezekiel Elliott,RB,29238
261,Felix JonesRB,Felix Jones,RB,8799
262,Fozzy WhittakerRB,Fozzy Whittaker,RB,26596
263,Frank GoreRB,Frank Gore,RB,7241
264,Fred DavisTE,Fred Davis,TE,8825
265,Fred JacksonRB,Fred Jackson,RB,8063
266,Gardner Minshew IIQB,Gardner Minshew II,QB,32010
267,Garrett HartleyK,Garrett Hartley,K,9222
268,Gary BarnidgeTE,Gary Barnidge,TE,8907
269,George KittleTE,George Kittle,TE,30259
270,Gerald EverettTE,Gerald Everett,TE,30157
271,Giovani BernardRB,Giovani Bernard,RB,26660
272,Golden TateWR,Golden Tate,WR,24035
273,Graham GanoK,Graham Gano,K,9526
274,Green BayDEF,Green Bay,DEF,100009
275,Greg JenningsWR,Greg Jennings,WR,7801
276,Greg OlsenTE,Greg Olsen,TE,8285
277,Gus EdwardsRB,Gus Edwards,RB,31424
278,Hakeem NicksWR,Hakeem Nicks,WR,9293
279,Harry DouglasWR,Harry Douglas,WR,8861
280,Heath MillerTE,Heath Miller,TE,7206
281,HoustonDEF,Houston,DEF,100034
282,Hunter HenryTE,Hunter Henry,TE,29269
283,IndianapolisDEF,Indianapolis,DEF,100011
284,Isaiah CrowellRB,Isaiah Crowell,RB,28014
285,J.D. McKissicRB,J.D. McKissic,RB,29650
286,J.K. DobbinsRB,J.K. Dobbins,RB,32725
287,Jackie BattleRB,Jackie Battle,RB,8739
288,JacksonvilleDEF,Jacksonville,DEF,100030
289,Jacob HollisterTE,Jacob Hollister,TE,30661
290,Jacoby BrissettQB,Jacoby Brissett,QB,29325
291,Jacquizz RodgersRB,Jacquizz Rodgers,RB,24932
292,Jakobi MeyersWR,Jakobi Meyers,WR,32231
293,Jalen HurtsQB,Jalen Hurts,QB,32723
294,Jamaal CharlesRB,Jamaal Charles,RB,8850
295,Jamaal WilliamsRB,Jamaal Williams,RB,30247
296,Ja'Marr ChaseWR,Ja'Marr Chase,WR,33393
