Owner,Player,Standard name,,Position,Price,Spend rank,Actual,Top Starter Bonus,Actual Among Drafted,Count drafted positions,Differential Actual,Differential Among Drafted,Differential Among Drafted w Bonus
Krista,Arizona Cardinals,Arizona,KristaArizona,DEF,1,5,4,7,1,11,1,4,11
Luke,Houston,Houston,LukeHouston,DEF,5,1,5,6,2,9,-4,-1,5
Benjamin,Seahawks,Seattle,BenSeattle,DEF,4,2,6,5,3,8,-4,-1,4
Duncan,Los Angeles (LAR),Los Angeles (LAR),DuncanSt. Louis,DEF,2,4,10,1,4,12,-6,0,1
Patrick,Buffalo Bills,Buffalo,PatrickBuffalo,DEF,3,3,20,,5,15,-17,-2,-2
Duncan,Stephen Gostkowski,Stephen Gostkowski,DuncanStephen Gostkowski,K,4,1,1,10,1,12,0,0,10
Luke,Adam Vinatieri,Adam Vinatieri,LukeAdam Vinatieri,K,2,2,9,2,2,9,-7,0,2
Patrick,Cam Newton,Cam Newton,PatrickCam Newton,QB,1,10,1,15,1,15,9,9,24
Benjamin,Russell Wilson,Russell Wilson,BenRussell Wilson,QB,15,3,2,14,2,8,1,1,15
Luke,Tom Brady,Tom Brady,LukeTom Brady,QB,3,9,3,13,3,9,6,6,19
Duncan,Aaron Rodgers,Aaron Rodgers,DuncanAaron Rodgers,QB,37,1,5,11,4,12,-4,-3,8
David Casstevens,Drew Brees,Drew Brees,DavidDrew Brees,QB,15,3,7,9,5,12,-4,-2,7
Mark,Eli Manning,Eli Manning,MarkEli Manning,QB,7,7,11,5,6,12,-4,1,6
Kevin,Matt Ryan,Matt Ryan,KJMatt Ryan,QB,11,5,19,,7,13,-14,-2,-2
Krista,Ben Roethlisberger,Ben Roethlisberger,KristaBen Roethlisberger,QB,10,6,21,,8,11,-15,-2,-2
Bryan,Andrew Luck,Andrew Luck,BryanAndrew Luck,QB,37,1,27,,9,12,-26,-8,-8
Mark,Peyton Manning,Peyton Manning,MarkPeyton Manning,QB,10,6,30,,10,12,-24,-4,-4
Patrick,Tony Romo,Tony Romo,PatrickTony Romo,QB,6,8,39,,11,15,-31,-3,-3
Benjamin,Adrian Peterson,Adrian Peterson,BenAdrian Peterson,RB,71,1,2,19,1,8,-1,0,19
Benjamin,Doug Martin,Doug Martin,BenDoug Martin,RB,11,20,3,18,2,8,17,18,36
Patrick,Lamar Miller,Lamar Miller,PatrickLamar Miller,RB,30,11,5,16,3,15,6,8,24
David Casstevens,Danny Woodhead,Danny Woodhead,DavidDanny Woodhead,RB,1,37,6,15,4,12,31,33,48
Mark,Todd Gurley,Todd Gurley,MarkTodd Gurley,RB,7,26,7,14,5,12,19,21,35
Kevin,Matt Forte,Matt Forte,KJMatt Forte,RB,38,9,8,13,6,13,1,3,16
Duncan,Chris Ivory,Chris Ivory,DuncanChris Ivory,RB,9,24,10,11,7,12,14,17,28
Mark,Latavius Murray,Latavius Murray,MarkLatavius Murray,RB,20,14,11,10,8,12,3,6,16
David Casstevens,Darren McFadden,Darren McFadden,DavidDarren McFadden,RB,1,37,12,9,9,12,25,28,37
Patrick,Mark Ingram,Mark Ingram,PatrickMark Ingram,RB,19,16,13,8,10,15,3,6,14
Scott Gunter,Frank Gore,Frank Gore,ScottFrank Gore,RB,20,14,14,7,11,5,0,3,10
David Casstevens,LeSean McCoy,LeSean McCoy,DavidLeSean McCoy,RB,34,10,15,6,12,12,-5,-2,4
Krista,DeMarco Murray,DeMarco Murray,KristaDeMarco Murray,RB,50,7,16,5,13,11,-9,-6,-1
Krista,Gio Bernard,Giovani Bernard,KristaGiovani Bernard,RB,3,33,17,4,14,11,16,19,23
Mark,Jeremy Hill,Jeremy Hill,MarkJeremy Hill,RB,45,8,18,3,15,12,-10,-7,-4
Patrick,Jonathan Stewart,Jonathan Stewart,PatrickJonathan Stewart,RB,11,20,19,2,16,15,1,4,6
Kevin,Rashad Jennings,Rashad Jennings,KJRashad Jennings,RB,3,33,21,,17,13,12,16,16
Krista,James Starks,James Starks,KristaJames Starks,RB,1,37,23,,18,11,14,19,19
Duncan,TJ Yeldon,T.J. Yeldon,DuncanT.J. Yeldon,RB,9,24,24,,19,12,0,5,5
Krista,Eddie Lacy,Eddie Lacy,KristaEddie Lacy,RB,68,2,28,,20,11,-26,-18,-18
David Casstevens,Ryan Matthews ,Ryan Mathews,DavidRyan Mathews,RB,5,30,29,,21,12,1,9,9
Luke,CJ Anderson,C.J. Anderson,LukeC.J. Anderson,RB,54,6,30,,22,9,-24,-16,-16
David Casstevens,Isiah Crowell,Isaiah Crowell,DavidIsaiah Crowell,RB,1,37,31,,23,12,6,14,14
Bryan,Joseph Randle,Joseph Randle,BryanJoseph Randle,RB,10,22,32,,24,12,-10,-2,-2
Kevin,Shane Vereen,Shane Vereen,KJShane Vereen,RB,3,33,33,,25,13,0,8,8
Patrick,LeGarrette Blount,LeGarrette Blount,PatrickLeGarrette Blount,RB,7,26,36,,26,15,-10,0,0
Benjamin,Justin Forsett,Justin Forsett,BenJustin Forsett,RB,30,11,39,,27,8,-28,-16,-16
Mark,Ameer Abdullah,Ameer Abdullah,MarkAmeer Abdullah,RB,10,22,43,,28,12,-21,-6,-6
Duncan,Le'Veon Bell,Le'Veon Bell,DuncanLe'Veon Bell,RB,65,4,46,,29,12,-42,-25,-25
Scott Gunter,Melvin Gordon,Melvin Gordon,ScottMelvin Gordon,RB,14,18,48,,30,5,-30,-12,-12
Bryan,Alfred Morris,Alfred Morris,BryanAlfred Morris,RB,22,13,49,,31,12,-36,-18,-18
David Casstevens,Joique Bell,Joique Bell,DavidJoique Bell,RB,2,36,50,,32,12,-14,4,4
Luke,Jamaal Charles,Jamaal Charles,LukeJamaal Charles,RB,66,3,51,,33,9,-48,-30,-30
Bryan,Carlos Hyde,Carlos Hyde,BryanCarlos Hyde,RB,14,18,55,,34,12,-37,-16,-16
Kevin,Marshawn Lynch,Marshawn Lynch,KJMarshawn Lynch,RB,63,5,56,,35,13,-51,-30,-30
Mark,Tre Mason,Tre Mason,MarkTre Mason,RB,4,31,59,,36,12,-28,-5,-5
Patrick,Arian Foster,Arian Foster,PatrickArian Foster,RB,6,28,60,,37,15,-32,-9,-9
Bryan,Andre Ellington,Andre Ellington,BryanAndre Ellington,RB,17,17,62,,38,12,-45,-21,-21
Kevin,CJ Spiller,C.J. Spiller,KJC.J. Spiller,RB,6,28,64,,39,13,-36,-11,-11
Patrick,Bishop Sankey,Bishop Sankey,PatrickBishop Sankey,RB,4,31,70,,40,15,-39,-9,-9
Luke,Rob Gronkowski,Rob Gronkowski,LukeRob Gronkowski,TE,39,1,1,10,1,9,0,0,10
Krista,Greg Olsen,Greg Olsen,KristaGreg Olsen,TE,24,3,5,6,2,11,-2,1,7
Bryan,Travis Kelce,Travis Kelce,BryanTravis Kelce,TE,19,4,7,4,3,12,-3,1,5
Patrick,Zach Ertz,Zach Ertz,PatrickZach Ertz,TE,1,7,9,2,4,15,-2,3,5
David Casstevens,Jimmy Graham,Jimmy Graham,DavidJimmy Graham,TE,29,2,16,,5,12,-14,-3,-3
Duncan,Martellus Bennett,Martellus Bennett,DuncanMartellus Bennett,TE,6,5,22,,6,12,-17,-1,-1
Kevin,Jordan Cameron,Jordan Cameron,KJJordan Cameron,TE,3,6,23,,7,13,-17,-1,-1
Patrick,Antonio Brown,Antonio Brown,PatrickAntonio Brown,WR,48,5,1,30,1,15,4,4,34
Scott Gunter,Julio Jones,Julio Jones,ScottJulio Jones,WR,70,1,2,29,2,5,-1,-1,28
Bryan,Brandon Marshall,Brandon Marshall,BryanBrandon Marshall,WR,18,18,3,28,3,12,15,15,43
Duncan,DeAndre Hopkins,DeAndre Hopkins,DuncanDeAndre Hopkins,WR,28,15,4,27,4,12,11,11,38
Mark,Odell Beckham Jr,Odell Beckham Jr.,MarkOdell Beckham Jr.,WR,45,7,5,26,5,12,2,2,28
Patrick,Allen Robinson,Allen Robinson,PatrickAllen Robinson,WR,9,26,6,25,6,15,20,20,45
David Casstevens,AJ Green,A.J. Green,DavidA.J. Green,WR,38,9,7,24,7,12,2,2,26
Duncan,Larry Fitzgerald ,Larry Fitzgerald,DuncanLarry Fitzgerald,WR,2,36,9,22,8,12,27,28,50
Krista,Jarvis Landry,Jarvis Landry,KristaJarvis Landry,WR,14,21,10,21,9,11,11,12,33
Scott Gunter,Demaryius Thomas,Demaryius Thomas,ScottDemaryius Thomas,WR,50,3,11,20,10,5,-8,-7,13
Duncan,Brandin Cooks,Brandin Cooks,DuncanBrandin Cooks,WR,30,14,12,19,11,12,2,3,22
Mark,Eric Decker,Eric Decker,MarkEric Decker,WR,7,28,13,18,12,12,15,16,34
Krista,Jeremy Maclin,Jeremy Maclin,KristaJeremy Maclin,WR,13,22,14,17,13,11,8,9,26
Bryan,Emmanuel Sanders,Emmanuel Sanders,BryanEmmanuel Sanders,WR,24,16,16,15,14,12,0,2,17
Luke,Sammy Watkins,Sammy Watkins,LukeSammy Watkins,WR,7,28,17,14,15,9,11,13,27
Mark,Jordan Matthews,Jordan Matthews,MarkJordan Matthews,WR,32,12,18,13,16,12,-6,-4,9
Kevin,TY Hilton,T.Y. Hilton,KJT.Y. Hilton,WR,34,10,20,11,17,13,-10,-7,4
Kevin,Mike Evans,Mike Evans,KJMike Evans,WR,31,13,21,10,18,13,-8,-5,5
Luke,Amari Cooper,Amari Cooper,LukeAmari Cooper,WR,19,17,22,9,19,9,-5,-2,7
Duncan,John Brown,John Brown,DuncanJohn Brown,WR,4,32,23,8,20,12,9,12,20
Patrick,Calvin Johnson,Calvin Johnson,PatrickCalvin Johnson,WR,53,2,24,7,21,15,-22,-19,-12
Scott Gunter,Randall Cobb,Randall Cobb,ScottRandall Cobb,WR,46,6,25,6,22,5,-19,-16,-10
Bryan,Golden Tate,Golden Tate,BryanGolden Tate,WR,13,22,27,4,23,12,-5,-1,3
Duncan,Martavis Bryant,Martavis Bryant,DuncanMartavis Bryant,WR,4,32,34,,24,12,-2,8,8
Mark,Julian Edelman,Julian Edelman,MarkJulian Edelman,WR,10,25,36,,25,12,-11,0,0
David Casstevens,Alshon Jeffrey,Alshon Jeffery,DavidAlshon Jeffery,WR,40,8,40,,26,12,-32,-18,-18
Krista,Andre Johnson,Andre Johnson,KristaAndre Johnson,WR,15,20,41,,27,11,-21,-7,-7
