Owner,Player,Standard name,,Position,Price,Spend rank,Actual,Top Starter Bonus,Actual Among Drafted,Count drafted positions,Differential Actual,Differential Among Drafted,Differential Among Drafted w Bonus
Bryan,Keenan Allen,Keenan Allen,BryanKeenan Allen,WR,18,18,42,,28,12,-24,-10,-10
Bryan,Torrey Smith,Torrey Smith,BryanTorrey Smith,WR,1,38,48,,29,12,-10,9,9
Mark,Steve Smith Sr.,Steve Smith Sr.,MarkSteve Smith Sr.,WR,3,35,51,,30,12,-16,5,5
Benjamin,VIncent Jackson,Vincent Jackson,BenVincent Jackson,WR,8,27,56,,31,8,-29,-4,-4
Benjamin,DeSean Jackson,DeSean Jackson,BenDeSean Jackson,WR,11,24,57,,32,8,-33,-8,-8
Patrick,Devin Funchess,Devin Funchess,PatrickDevin Funchess,WR,1,38,58,,33,15,-20,5,5
David Casstevens,Davante Adams,Davante Adams,DavidDavante Adams,WR,33,11,63,,34,12,-52,-23,-23
Kevin,Mike Wallace,Mike Wallace,KJMike Wallace,WR,4,32,65,,35,13,-33,-3,-3
Kevin,Roddy White,Roddy White,KJRoddy White,WR,2,36,66,,36,13,-30,0,0
Patrick,Kendall Wright,Kendall Wright,PatrickKendall Wright,WR,1,38,67,,37,15,-29,1,1
Kevin,Kenny Stills,Kenny Stills,KJKenny Stills,WR,1,38,70,,38,13,-32,0,0
Benjamin,Dez Bryant,Dez Bryant,BenDez Bryant,WR,50,3,73,,39,8,-70,-36,-36
Krista,Harry Douglas,Harry Douglas,KristaHarry Douglas,WR,1,38,74,,40,11,-36,-2,-2
Bryan,Nelson Agholor,Nelson Agholor,BryanNelson Agholor,WR,7,28,88,,41,12,-60,-13,-13
David Casstevens,Victor Cruz,Victor Cruz,DavidVictor Cruz,WR,1,38,99,,42,12,-61,-4,-4
Luke,Charles Johnson,Charles Johnson,LukeCharles Johnson,WR,5,31,101,,43,9,-70,-12,-12
Kevin,Kevin White,Kevin White,KJKevin White,WR,1,38,102,,44,13,-64,-6,-6
