Owner,Player,Position,Team,Price,conc,Standard Name
Bryan,Puka Nacua,WR,"
LAR (6)",34,Puka NacuaWR,Puka NacuaWR
Luke,Marvin Harrison Jr.,WR,"
ARI (11)",33,Marvin Harrison Jr.WR,Marvin Harrison Jr.WR
Krista,Drake London,WR,"
ATL (12)",33,Drake LondonWR,Drake LondonWR
David,Jaylen Waddle,WR,"
MIA (6)",25,Jaylen WaddleWR,Jaylen WaddleWR
Patrick,Chris Olave,WR,"
NO (12)",25,Chris OlaveWR,Chris OlaveWR
Mark,DK Metcalf,WR,"
SEA (10)",24,DK MetcalfWR,DK MetcalfWR
Patrick,Nico Collins,WR,"
HOU (14)",20,Nico CollinsWR,Nico CollinsWR
Patrick,Davante Adams,WR,"
LV (10)",19,Davante AdamsWR,Davante AdamsWR
Scott,DJ Moore,WR,"
CHI (7)",17,DJ MooreWR,DJ MooreWR
David,Tank Dell,WR,"
HOU (14)",17,Tank DellWR,Tank DellWR
Mark,Cooper Kupp,WR,"
LAR (6)",17,Cooper KuppWR,Cooper KuppWR
Mark,Malik Nabers,WR,"
NYG (11)",16,Malik NabersWR,Malik NabersWR
KJ,DeVonta Smith,WR,"
PHI (5)",15,DeVonta SmithWR,DeVonta SmithWR
Scott,Deebo Samuel Sr.,WR,"
SF (9)",15,Deebo Samuel Sr.WR,Deebo Samuel Sr.WR
Bryan,Mike Evans,WR,"
TB (11)",15,Mike EvansWR,Mike EvansWR
Scott,Amari Cooper,WR,"
CLE (10)",14,Amari CooperWR,Amari CooperWR
Bryan,Rashee Rice,WR,"
KC (6)",13,Rashee RiceWR,Rashee RiceWR
Duncan,Brandon Aiyuk,WR,"
SF (9)",13,Brandon AiyukWR,Brandon AiyukWR
Scott,Stefon Diggs,WR,"
HOU (14)",12,Stefon DiggsWR,Stefon DiggsWR
David,Tee Higgins,WR,"
CIN (12)",10,Tee HigginsWR,Tee HigginsWR
David,George Pickens,WR,"
PIT (9)",9,George PickensWR,George PickensWR
KJ,Michael Pittman Jr.,WR,"
IND (14)",8,Michael Pittman Jr.WR,Michael Pittman Jr.WR
Duncan,Terry McLaurin,WR,"
WAS (14)",8,Terry McLaurinWR,Terry McLaurinWR
Mark,Xavier Worthy,WR,"
KC (6)",7,Xavier WorthyWR,Xavier WorthyWR
Bryan,Zay Flowers,WR,"
BAL (14)",5,Zay FlowersWR,Zay FlowersWR
Krista,Diontae Johnson,WR,"
CAR (11)",5,Diontae JohnsonWR,Diontae JohnsonWR
David,Rome Odunze,WR,"
CHI (7)",5,Rome OdunzeWR,Rome OdunzeWR
Krista,Jayden Reed,WR,"
GB (10)",5,Jayden ReedWR,Jayden ReedWR
Bryan,Christian Kirk,WR,"
JAC (12)",5,Christian KirkWR,Christian KirkWR
Krista,Chris Godwin,WR,"
TB (11)",5,Chris GodwinWR,Chris GodwinWR
Luke,Calvin Ridley,WR,"
TEN (5)",5,Calvin RidleyWR,Calvin RidleyWR
Ben,Jaxon Smith-Njigba,WR,"
SEA (10)",4,Jaxon Smith-NjigbaWR,Jaxon Smith-NjigbaWR
David,Khalil Shakir,WR,"
BUF (12)",3,Khalil ShakirWR,Khalil ShakirWR
Luke,Courtland Sutton,WR,"
DEN (14)",3,Courtland SuttonWR,Courtland SuttonWR
Duncan,Christian Watson,WR,"
GB (10)",3,Christian WatsonWR,Christian WatsonWR
Luke,Brian Thomas Jr.,WR,"
JAC (12)",3,Brian Thomas Jr.WR,Brian Thomas Jr.WR
Scott,Marquise Brown,WR,"
KC (6)",3,Marquise BrownWR,Marquise BrownWR
Luke,Keenan Allen,WR,"
CHI (7)",2,Keenan AllenWR,Keenan AllenWR
Mark,Ladd McConkey,WR,"
LAC (5)",2,Ladd McConkeyWR,Ladd McConkeyWR
KJ,Keon Coleman,WR,"
BUF (12)",1,Keon ColemanWR,Keon ColemanWR
Luke,Jameson Williams,WR,"
DET (5)",1,Jameson WilliamsWR,Jameson WilliamsWR
Ben,Jordan Addison,WR,"
MIN (6)",1,Jordan AddisonWR,Jordan AddisonWR
Mark,DeAndre Hopkins,WR,"
TEN (5)",1,DeAndre HopkinsWR,DeAndre HopkinsWR
