player_name,player_url,position,faab_spend,failed_bids,awardee,awardee_url,award_timestamp,has_failed_bidders,faab_dollars,sort,season
Eli Manning,https://sports.yahoo.com/nfl/players/6760,QB,$1 Waiver,,Magic Skol Bus,https://football.fantasysports.yahoo.com/2017/f1/347949/9,"Nov 8, 5:18 am",0,1,"Eli ManningMagic Skol BusNov 8, 5:18 am1",2017
Robert Woods,https://sports.yahoo.com/nfl/players/26664,WR,$3 Waiver,,The Brady Bunch,https://football.fantasysports.yahoo.com/2017/f1/347949/4,"Nov 8, 5:18 am",0,3,"Robert WoodsThe Brady BunchNov 8, 5:18 am3",2017
Alfred Morris,https://sports.yahoo.com/nfl/players/25883,RB,$38 Waiver,,Kareem'd my Pants,https://football.fantasysports.yahoo.com/2017/f1/347949/6,"Nov 8, 5:18 am",0,38,"Alfred MorrisKareem'd my PantsNov 8, 5:18 am38",2017
Jamison Crowder,https://sports.yahoo.com/nfl/players/28493,WR,$1 Waiver,,Dezspacito,https://football.fantasysports.yahoo.com/2017/f1/347949/2,"Nov 1, 9:24 am",0,1,"Jamison CrowderDezspacitoNov 1, 9:24 am1",2017
Jacoby Brissett,https://sports.yahoo.com/nfl/players/29325,QB,$1 Waiver,,Fetty Watt,https://football.fantasysports.yahoo.com/2017/f1/347949/8,"Nov 1, 9:24 am",0,1,"Jacoby BrissettFetty WattNov 1, 9:24 am1",2017
Travis Benjamin,https://sports.yahoo.com/nfl/players/25810,WR,$1 Waiver,,Fetty Watt,https://football.fantasysports.yahoo.com/2017/f1/347949/8,"Nov 1, 9:24 am",0,1,"Travis BenjaminFetty WattNov 1, 9:24 am1",2017
Buffalo,https://sports.yahoo.com/nfl/teams/buffalo/,DEF,$2 Waiver,,UGotAnyGamesOnUrPhon,https://football.fantasysports.yahoo.com/2017/f1/347949/1,"Nov 1, 9:24 am",0,2,"BuffaloUGotAnyGamesOnUrPhonNov 1, 9:24 am2",2017
Greg Olsen,https://sports.yahoo.com/nfl/players/8285,TE,$2 Waiver,,BryanIsATampon,https://football.fantasysports.yahoo.com/2017/f1/347949/7,"Nov 1, 9:24 am",0,2,"Greg OlsenBryanIsATamponNov 1, 9:24 am2",2017
Orleans Darkwa,https://sports.yahoo.com/nfl/players/28169,RB,$7 Waiver,,Golladayum,https://football.fantasysports.yahoo.com/2017/f1/347949/3,"Nov 1, 9:24 am",0,7,"Orleans DarkwaGolladayumNov 1, 9:24 am7",2017
Damien Williams,https://sports.yahoo.com/nfl/players/28115,RB,$11 Waiver,,UGotAnyGamesOnUrPhon,https://football.fantasysports.yahoo.com/2017/f1/347949/1,"Nov 1, 9:24 am",0,11,"Damien WilliamsUGotAnyGamesOnUrPhonNov 1, 9:24 am11",2017
