,team_key,name,rank,playoff_seed,outcome_totals,streak,points_for,points_against,wins,losses,ties,percentage,moves,faab_balance,league_key,league_id,manager_id,manager_key,rs_score,diff,p_score,playoff_wins
41,314.l.378899.t.4,RG-3PO,4.0,6.0,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '3'}",1267.86,1386.5800000000002,5,8,0,0.385,18,1,314.l.378899,378899,4,378899.4,1267.86,0.0,290.04,1
42,314.l.378899.t.2,BeadsMeOff,5.0,3.0,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'loss', 'value': '2'}",1289.86,1174.1,8,5,0,0.615,29,1,314.l.378899,378899,2,378899.2,1289.86,0.0,194.08,1
43,314.l.378899.t.5,IBeSpeakinSwaghili,6.0,5.0,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '1'}",1318.28,1324.0600000000002,7,6,0,0.538,34,1,314.l.378899,378899,5,378899.5,1318.28,0.0,176.72,0
44,314.l.378899.t.1,Jacquizz Stains,7.0,8.0,"{'wins': '3', 'losses': '10', 'ties': 0, 'percentage': '.231'}","{'type': 'win', 'value': '1'}",1147.32,1311.76,3,10,0,0.231,28,0,314.l.378899,378899,1,378899.1,1147.32,0.0,138.12,1
45,314.l.378899.t.7,Chalupa Batman,8.0,7.0,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'loss', 'value': '4'}",1191.0,1375.8000000000002,5,8,0,0.385,29,1,314.l.378899,378899,7,378899.7,1191.0,0.0,98.68,0
46,331.l.329823.t.6,DEZstiny,1.0,3.0,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'loss', 'value': '1'}",1265.36,1271.5600000000002,7,6,0,0.538,38,3,331.l.329823,329823,6,329823.6,1265.36,0.0,329.8,3
47,331.l.329823.t.5,TURN DOWN 4 WATT,2.0,4.0,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'win', 'value': '1'}",1379.78,1339.9400000000005,6,7,0,0.462,23,1,331.l.329823,329823,5,329823.5,1379.78,0.0,271.02,2
48,331.l.329823.t.4,Breezus,3.0,2.0,"{'wins': '10', 'losses': '3', 'ties': 0, 'percentage': '.769'}","{'type': 'win', 'value': '7'}",1292.28,1160.06,10,3,0,0.769,33,3,331.l.329823,329823,4,329823.4,1292.28,0.0,181.24,1
49,331.l.329823.t.10,IBeSpeakinSwaghili,4.0,1.0,"{'wins': '12', 'losses': '1', 'ties': 0, 'percentage': '.923'}","{'type': 'win', 'value': '3'}",1454.1,1086.44,12,1,0,0.923,34,3,331.l.329823,329823,10,329823.1,1146.5,307.5999999999999,215.4,0
50,331.l.329823.t.1,It Hurts When Eifert,7.0,7.0,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'loss', 'value': '2'}",1146.5,1170.2599999999998,6,7,0,0.462,24,1,331.l.329823,329823,1,329823.1,1146.5,0.0,215.4,2
51,331.l.329823.t.8,TakeItToTheHauschka,5.0,6.0,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'win', 'value': '1'}",1206.06,1242.8,6,7,0,0.462,33,4,331.l.329823,329823,8,329823.8,1206.06,0.0,198.5,1
52,331.l.329823.t.2,BeadsMeOff,6.0,5.0,"{'wins': '6', 'losses': '7', 'ties': 0, 'percentage': '.462'}","{'type': 'loss', 'value': '1'}",1243.68,1232.12,6,7,0,0.462,39,6,331.l.329823,329823,2,329823.2,1243.68,0.0,177.54,0
53,331.l.329823.t.3,AndreHasAHuge...,8.0,9.0,"{'wins': '4', 'losses': '9', 'ties': 0, 'percentage': '.308'}","{'type': 'loss', 'value': '3'}",1233.42,1399.8000000000002,4,9,0,0.308,20,0,331.l.329823,329823,3,329823.3,1233.42,0.0,164.02,1
54,331.l.329823.t.7,White Cassel,9.0,10.0,"{'wins': '3', 'losses': '10', 'ties': 0, 'percentage': '.231'}","{'type': 'loss', 'value': '2'}",1187.06,1435.16,3,10,0,0.231,22,0,331.l.329823,329823,7,329823.7,1187.06,0.0,164.7,1
55,331.l.329823.t.9,CantStopWontStop,10.0,8.0,"{'wins': '5', 'losses': '8', 'ties': 0, 'percentage': '.385'}","{'type': 'win', 'value': '2'}",1086.66,1156.7599999999998,5,8,0,0.385,30,1,331.l.329823,329823,9,329823.9,1086.66,0.0,115.2,0
56,348.l.216667.t.7,Abdullah Matata,1.0,2.0,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'win', 'value': '2'}",1257.24,1216.2600000000002,9,4,0,0.692,23,5,348.l.216667,216667,7,216667.7,1257.24,0.0,190.0,2
57,348.l.216667.t.10,IBeSpeakinSwaghili,2.0,1.0,"{'wins': '9', 'losses': '4', 'ties': 0, 'percentage': '.692'}","{'type': 'loss', 'value': '2'}",1361.94,1189.2199999999998,9,4,0,0.692,50,2,348.l.216667,216667,10,216667.1,1205.2,156.74,210.26,1
58,348.l.216667.t.1,JULIO! JULIO! JULIO!,5.0,6.0,"{'wins': '7', 'losses': '6', 'ties': 0, 'percentage': '.538'}","{'type': 'win', 'value': '2'}",1205.2,1224.02,7,6,0,0.538,56,1,348.l.216667,216667,1,216667.1,1205.2,0.0,210.26,1
59,348.l.216667.t.2,Cooks & Books,3.0,3.0,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '2'}",1362.3,1245.0800000000002,8,5,0,0.615,40,3,348.l.216667,216667,2,216667.2,1362.3,0.0,309.32,2
60,348.l.216667.t.3,1st Back2Back,4.0,5.0,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'win', 'value': '1'}",1211.46,1201.66,8,5,0,0.615,46,2,348.l.216667,216667,3,216667.3,1211.46,0.0,297.26,1
61,348.l.216667.t.8,Breezus,6.0,4.0,"{'wins': '8', 'losses': '5', 'ties': 0, 'percentage': '.615'}","{'type': 'loss', 'value': '1'}",1266.16,1169.0800000000002,8,5,0,0.615,28,2,348.l.216667,216667,8,216667.8,1266.16,0.0,144.92,0
