Unnamed: 0,position,manager_id,opponent_id,matchup_url,player,player_url,score,manager,league_url,league_id,manager_key
0,QB,1,10,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=9&mid1=1&mid2=10,E. Manning ,https://sports.yahoo.com/nfl/players/6760,12.42,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
1,WR,1,10,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=9&mid1=1&mid2=10,J. Jones ,https://sports.yahoo.com/nfl/players/24793,13.7,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
2,WR,1,10,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=9&mid1=1&mid2=10,R. Cobb ,https://sports.yahoo.com/nfl/players/24851,15.9,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
3,WR,1,10,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=9&mid1=1&mid2=10,D. Thomas ,https://sports.yahoo.com/nfl/players/23997,5.0,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
4,RB,1,10,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=9&mid1=1&mid2=10,D. Freeman ,https://sports.yahoo.com/nfl/players/27631,13.9,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
5,RB,1,10,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=9&mid1=1&mid2=10,R. Hillman ,https://sports.yahoo.com/nfl/players/25777,0.1,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
6,TE,1,10,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=9&mid1=1&mid2=10,Z. Ertz ,https://sports.yahoo.com/nfl/players/26658,4.4,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
7,K,1,10,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=9&mid1=1&mid2=10,M. Nugent ,https://sports.yahoo.com/nfl/players/7223,7.0,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
8,DEF,1,10,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=9&mid1=1&mid2=10,Atlanta  - DEF ,https://sports.yahoo.com/nfl/teams/atlanta/,5.0,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
0,QB,1,2,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=10&mid1=1&mid2=2,E. Manning ,https://sports.yahoo.com/nfl/players/6760,21.44,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
1,WR,1,2,https://football.fantasysports.yahoo.com//2015/f1/216667/matchup?week=10&mid1=1&mid2=2,D. Thomas ,https://sports.yahoo.com/nfl/players/23997,7.1,JULIO! JULIO! JULIO!,https://football.fantasysports.yahoo.com/2015/f1/216667,216667,216667.1
