Unnamed: 0,position,manager_id,opponent_id,matchup_url,player,player_url,player_id,score,manager,league_url,league_id,manager_key
9,DEF,3,1,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=2&mid1=3&mid2=1,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,7,1.25 Dick Sandwich,https://football.fantasysports.yahoo.com/2020/f1/523631,523631,523631.3
8,DEF,3,2,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=3&mid1=3&mid2=2,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,5,1.25 Dick Sandwich,https://football.fantasysports.yahoo.com/2020/f1/523631,523631,523631.3
8,DEF,6,2,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=6&mid1=6&mid2=2,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,7,Aurturshelbysteam,https://football.fantasysports.yahoo.com/2020/f1/523631,523631,523631.6
8,DEF,6,3,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=7&mid1=6&mid2=3,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,23,Aurturshelbysteam,https://football.fantasysports.yahoo.com/2020/f1/523631,523631,523631.6
9,DEF,6,5,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=9&mid1=6&mid2=5,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,9.5,Aurturshelbysteam,https://football.fantasysports.yahoo.com/2020/f1/523631,523631,523631.6
9,DEF,6,10,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=10&mid1=6&mid2=10,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,2.5,Aurturshelbysteam,https://football.fantasysports.yahoo.com/2020/f1/523631,523631,523631.6
8,DEF,6,7,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=11&mid1=6&mid2=7,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,20.5,Aurturshelbysteam,https://football.fantasysports.yahoo.com/2020/f1/523631,523631,523631.6
8,DEF,6,8,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=12&mid1=6&mid2=8,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,24,Aurturshelbysteam,https://football.fantasysports.yahoo.com/2020/f1/523631,523631,523631.6
8,DEF,6,9,https://football.fantasysports.yahoo.com//2020/f1/523631/matchup?week=13&mid1=6&mid2=9,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,11.5,Aurturshelbysteam,https://football.fantasysports.yahoo.com/2020/f1/523631,523631,523631.6
9,DEF,5,4,https://football.fantasysports.yahoo.com//2021/f1/696126/matchup?week=1&mid1=5&mid2=4,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,10.5,Shooting For 1st,https://football.fantasysports.yahoo.com/2021/f1/696126,696126,696126.5
9,DEF,5,8,https://football.fantasysports.yahoo.com//2021/f1/696126/matchup?week=2&mid1=5&mid2=8,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,6.5,Shooting For 1st,https://football.fantasysports.yahoo.com/2021/f1/696126,696126,696126.5
9,DEF,5,7,https://football.fantasysports.yahoo.com//2021/f1/696126/matchup?week=3&mid1=5&mid2=7,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,-0.5,Shooting For 1st,https://football.fantasysports.yahoo.com/2021/f1/696126,696126,696126.5
9,DEF,5,1,https://football.fantasysports.yahoo.com//2021/f1/696126/matchup?week=4&mid1=5&mid2=1,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,2.5,Shooting For 1st,https://football.fantasysports.yahoo.com/2021/f1/696126,696126,696126.5
9,DEF,5,3,https://football.fantasysports.yahoo.com//2021/f1/696126/matchup?week=5&mid1=5&mid2=3,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,6.5,Shooting For 1st,https://football.fantasysports.yahoo.com/2021/f1/696126,696126,696126.5
9,DEF,5,6,https://football.fantasysports.yahoo.com//2021/f1/696126/matchup?week=6&mid1=5&mid2=6,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,10,Shooting For 1st,https://football.fantasysports.yahoo.com/2021/f1/696126,696126,696126.5
9,DEF,5,2,https://football.fantasysports.yahoo.com//2021/f1/696126/matchup?week=7&mid1=5&mid2=2,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,10.5,Shooting For 1st,https://football.fantasysports.yahoo.com/2021/f1/696126,696126,696126.5
9,DEF,5,10,https://football.fantasysports.yahoo.com//2021/f1/696126/matchup?week=8&mid1=5&mid2=10,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,11.5,Shooting For 1st,https://football.fantasysports.yahoo.com/2021/f1/696126,696126,696126.5
9,DEF,9,7,https://football.fantasysports.yahoo.com//2021/f1/696126/matchup?week=11&mid1=9&mid2=7,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,6.5,Where Mahomes At?,https://football.fantasysports.yahoo.com/2021/f1/696126,696126,696126.9
8,DEF,9,1,https://football.fantasysports.yahoo.com//2021/f1/696126/matchup?week=12&mid1=9&mid2=1,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,12.5,Where Mahomes At?,https://football.fantasysports.yahoo.com/2021/f1/696126,696126,696126.9
8,DEF,9,3,https://football.fantasysports.yahoo.com//2021/f1/696126/matchup?week=13&mid1=9&mid2=3,Washington  - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,6,Where Mahomes At?,https://football.fantasysports.yahoo.com/2021/f1/696126,696126,696126.9
10,DEF,3,1,https://football.fantasysports.yahoo.com//f1/709240/matchup?week=11&mid1=3&mid2=1,Washington Was - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,22.5,Hurts is hurt,https://football.fantasysports.yahoo.com/2022/f1/709240,709240,709240.3
9,DEF,3,10,https://football.fantasysports.yahoo.com//f1/709240/matchup?week=12&mid1=3&mid2=10,Washington Was - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,12,Hurts is hurt,https://football.fantasysports.yahoo.com/2022/f1/709240,709240,709240.3
9,DEF,3,2,https://football.fantasysports.yahoo.com//f1/709240/matchup?week=13&mid1=3&mid2=2,Washington Was - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,14,Hurts is hurt,https://football.fantasysports.yahoo.com/2022/f1/709240,709240,709240.3
10,DEF,4,10,https://football.fantasysports.yahoo.com//f1/709240/matchup?week=9&mid1=4&mid2=10,Washington Was - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,14,Slaw Bunnies,https://football.fantasysports.yahoo.com/2022/f1/709240,709240,709240.4
9,DEF,9,3,https://football.fantasysports.yahoo.com//f1/709240/matchup?week=1&mid1=9&mid2=3,Washington Was - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,8,Book of Moremoms,https://football.fantasysports.yahoo.com/2022/f1/709240,709240,709240.9
9,DEF,9,8,https://football.fantasysports.yahoo.com//f1/709240/matchup?week=2&mid1=9&mid2=8,Washington Was - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,8.5,Book of Moremoms,https://football.fantasysports.yahoo.com/2022/f1/709240,709240,709240.9
10,DEF,10,9,https://football.fantasysports.yahoo.com//f1/709240/matchup?week=7&mid1=10&mid2=9,Washington Was - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,8.5,Fresh Princ(ess) of Helaire,https://football.fantasysports.yahoo.com/2022/f1/709240,709240,709240.1
10,DEF,10,1,https://football.fantasysports.yahoo.com//f1/709240/matchup?week=8&mid1=10&mid2=1,Washington Was - DEF ,https://sports.yahoo.com/nfl/teams/washington/,washington,12,Fresh Princ(ess) of Helaire,https://football.fantasysports.yahoo.com/2022/f1/709240,709240,709240.1
8,DEF,1,2,https://football.fantasysports.yahoo.com//2007/f1/580505/matchup?week=6&mid1=1&mid2=2,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,6,Philadelphia Freedom,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.1
8,DEF,1,4,https://football.fantasysports.yahoo.com//2007/f1/580505/matchup?week=8&mid1=1&mid2=4,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,13,Philadelphia Freedom,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.1
8,DEF,1,5,https://football.fantasysports.yahoo.com//2007/f1/580505/matchup?week=9&mid1=1&mid2=5,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,15,Philadelphia Freedom,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.1
8,DEF,1,6,https://football.fantasysports.yahoo.com//2007/f1/580505/matchup?week=10&mid1=1&mid2=6,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,2,Philadelphia Freedom,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.1
8,DEF,1,2,https://football.fantasysports.yahoo.com//2007/f1/580505/matchup?week=11&mid1=1&mid2=2,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,2,Philadelphia Freedom,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.1
8,DEF,1,3,https://football.fantasysports.yahoo.com//2007/f1/580505/matchup?week=12&mid1=1&mid2=3,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,-1,Philadelphia Freedom,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.1
8,DEF,1,4,https://football.fantasysports.yahoo.com//2007/f1/580505/matchup?week=13&mid1=1&mid2=4,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,7,Philadelphia Freedom,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.1
8,DEF,1,5,https://football.fantasysports.yahoo.com//2007/f1/580505/matchup?week=14&mid1=1&mid2=5,Tennessee  - DEF ,https://sports.yahoo.com/nfl/teams/tennessee/,tennessee,11,Philadelphia Freedom,https://football.fantasysports.yahoo.com/2007/f1/580505,580505,580505.1
